price,product_name,rating
$139.99,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",4.7 out of 5 stars
$189.99,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",4.7 out of 5 stars
$99.99,"All-new Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Denim",3.8 out of 5 stars
$139.99,Kindle Oasis – Now with adjustable warm light,4.7 out of 5 stars
$29.95,Kindle (2019 release) - Now with a Built-in Front Light - White,4.5 out of 5 stars
$279.99,Certified Refurbished Kindle - Now with a Built-in Front Light - Black - Ad-Supported,4.6 out of 5 stars
$89.99,"Introducing Kindle Scribe (16 GB), the first Kindle for reading and writing, with a 10.2” 300 ppi Paperwhite display, includes Basic Pen",4.6 out of 5 stars
$79.99,"Kindle Paperwhite Kids (8 GB) – Made for reading - access thousands of books with Amazon Kids+, 2-year worry-free guarantee",4.6 out of 5 stars
$339.99,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Fabric Cover, and Wireless charging dock",4.7 out of 5 stars
$159.99,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Leather Cover, and Wireless charging dock",4.8 out of 5 stars
$229.97,"Kindle Oasis – With adjustable warm light – Wi-Fi + Free Cellular Connectivity, 32 GB, Graphite",4.8 out of 5 stars
$249.97,"Certified Refurbished Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",4.6 out of 5 stars
$239.97,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-supported, Amazon Fabric Cover, and Power Adapter",4.6 out of 5 stars
$259.97,"Kindle Wireless Reading Device, Free 3G, 6"" Display, White - 2nd Generation",4.7 out of 5 stars
$189.99,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Without Lockscreen Ads",4.7 out of 5 stars
