book_rating,book_title,kindle_price
4.6 out of 5 stars,It Starts with Us: A Novel (It Ends with Us Book 2),$11.99
4.4 out of 5 stars,The Boys from Biloxi: A Legal Thriller,$14.99
4.7 out of 5 stars,Fairy Tale,$16.99
4.6 out of 5 stars,Righteous Prey (A Prey Novel Book 32),$14.99
4.7 out of 5 stars,Long Shadows (Memory Man Series Book 7),$14.99
4.7 out of 5 stars,It Ends with Us: A Novel,$10.99
4.6 out of 5 stars,Verity,$11.99
4.5 out of 5 stars,Mad Honey: A Novel,$14.99
4.4 out of 5 stars,Confidence Man: The Making of Donald Trump and the Breaking of America,$16.99
4.6 out of 5 stars,Lessons in Chemistry: A Novel,$14.99
4.1 out of 5 stars,The Maze (John Corey Book 8),$14.99
4.8 out of 5 stars,Where the Crawdads Sing,$12.99
4.8 out of 5 stars,I'm Glad My Mom Died,$14.99
4.5 out of 5 stars,Fire & Blood: 300 Years Before A Game of Thrones (The Targaryen Dynasty: The House of the Dragon),$5.99
4.7 out of 5 stars,Oath of Loyalty (A Mitch Rapp Novel Book 21),$14.99
4.2 out of 5 stars,The Ink Black Heart (A Cormoran Strike Novel),$15.99
4.5 out of 5 stars,Dreamland: A Novel,$14.99
4.6 out of 5 stars,The Seven Husbands of Evelyn Hugo: A Novel,$14.99
4.5 out of 5 stars,Blowback: James Patterson's Best Thriller in Years,$14.99
4.6 out of 5 stars,Demon Copperhead: A Novel,$15.99
4.7 out of 5 stars,Reminders of Him: A Novel,$0.00
4.4 out of 5 stars,The 6:20 Man: A Thriller,$14.99
4.5 out of 5 stars,Things We Never Got Over (Knockemout Book 1),$0.00
4.6 out of 5 stars,Horse: A Novel,$14.99
4.9 out of 5 stars,A Court of Mist and Fury (A Court of Thorns and Roses Book 2),$9.99
4.4 out of 5 stars,Our Missing Hearts: A Novel,$14.99
4.6 out of 5 stars,The Golden Enclaves: A Novel (The Scholomance Book 3),$13.99
4.7 out of 5 stars,Ugly Love: A Novel,$10.99
4.8 out of 5 stars,Desperation in Death: An Eve Dallas Novel,$14.99
4.6 out of 5 stars,"Dark Whisper (Carpathian Novel, A Book 36)",$14.99
4.6 out of 5 stars,The Wrong Bride: Ares and Raven's Story (The Windsors),$0.00
4.5 out of 5 stars,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,$0.00
4.5 out of 5 stars,King of Wrath : An Arranged Marriage Romance (Kings of Sin),$0.00
4.7 out of 5 stars,The Bullet That Missed: A Thursday Murder Club Mystery,$14.99
4.8 out of 5 stars,A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),$6.55
4.7 out of 5 stars,The Winners: A Novel (Beartown Series),$14.99
4.7 out of 5 stars,A Court of Thorns and Roses,$6.65
4.6 out of 5 stars,"The Divider: Trump in the White House, 2017-2021",$14.99
4.4 out of 5 stars,The Lincoln Highway: A Novel,$14.99
4.5 out of 5 stars,Carrie Soto Is Back: A Novel,$13.99
4.3 out of 5 stars,Wrong Place Wrong Time: A Novel,$14.99
4.2 out of 5 stars,The It Girl,$14.99
4.4 out of 5 stars,Lucy by the Sea: A Novel,$14.99
4.8 out of 5 stars,Throne of Glass eBook Bundle: An 8 Book Bundle,$38.99
4.8 out of 5 stars,A Court of Silver Flames (A Court of Thorns and Roses Book 5),$8.21
4.3 out of 5 stars,The Marriage Portrait: A novel,$14.99
4.0 out of 5 stars,Luckiest Girl Alive: A Novel,$11.99
4.2 out of 5 stars,Distant Thunder (A Stone Barrington Novel Book 63),$14.99
4.6 out of 5 stars,Icebreaker (The UCMH Series Book 1),$0.00
4.5 out of 5 stars,Portrait of an Unknown Woman: A Novel,$14.99
4.4 out of 5 stars,The Hotel Nantucket,$14.99
4.5 out of 5 stars,All Good People Here: A Novel,$7.99
4.6 out of 5 stars,Folk Around and Find Out (Good Folk: Modern Folktales Book 2),$6.99
4.8 out of 5 stars,Until You Can't,$0.00
4.7 out of 5 stars,November 9: A Novel,$10.99
4.7 out of 5 stars,The High Notes: A Novel,$14.99
4.5 out of 5 stars,Treasure State: A Cassie Dewell Novel (Cassie Dewell Novels Book 6),$14.99
4.5 out of 5 stars,Book Lovers,$9.99
4.4 out of 5 stars,The Perfect Marriage: A Completely Gripping Psychological Suspense,$0.00
4.5 out of 5 stars,The Silent Patient,$12.99
4.6 out of 5 stars,Remarkably Bright Creatures: A Novel,$14.99
4.5 out of 5 stars,The Personal Librarian,$11.99
4.5 out of 5 stars,Regretting You,$0.00
4.4 out of 5 stars,Live Wire: Long-Winded Short Stories,$14.99
4.7 out of 5 stars,Project Hail Mary: A Novel,$12.99
4.8 out of 5 stars,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,$11.99
4.3 out of 5 stars,Kingdom of the Feared (Kingdom of the Wicked),$12.99
4.6 out of 5 stars,Clive Cussler's Hellburner (The Oregon Files Book 16),$14.99
4.3 out of 5 stars,Shrines of Gaiety: A Novel,$14.99
4.4 out of 5 stars,Wreck & Ruin: An Age Gap Romance (Blue Angels Motorcycle Club Book 1),$6.99
4.3 out of 5 stars,The Last Thing He Told Me: A Novel,$10.99
3.3 out of 5 stars,The Last Chairlift,$16.99
4.3 out of 5 stars,The Extraordinary Life of an Ordinary Man: A Memoir,$14.99
4.3 out of 5 stars,The Maid: A Novel,$12.99
4.2 out of 5 stars,Suspect,$14.99
4.5 out of 5 stars,"Tomorrow, and Tomorrow, and Tomorrow: A novel",$13.99
4.4 out of 5 stars,Haunting Adeline (Cat and Mouse Duet Book 1),$0.00
4.6 out of 5 stars,The Do-Over (The Miles High Club Book 4),$0.00
4.3 out of 5 stars,The Thursday Murder Club: A Novel (A Thursday Murder Club Mystery Book 1),$11.99
4.7 out of 5 stars,Heartless: A Small Town Single Dad Romance,$0.00
4.3 out of 5 stars,The Quarry Girls: A Thriller,$4.99
4.5 out of 5 stars,Nona the Ninth (The Locked Tomb Series Book 3),$14.99
4.8 out of 5 stars,House of Sky and Breath (Crescent City),$9.99
4.7 out of 5 stars,Court (Crave Book 4),$9.99
4.1 out of 5 stars,The Paris Apartment: A Novel,$14.99
4.8 out of 5 stars,Inferno (Kelly Turnbull Book 7),$6.99
4.5 out of 5 stars,Never Lie: An addictive psychological thriller,$0.00
4.0 out of 5 stars,Sparring Partners: Novellas,$14.99
4.7 out of 5 stars,House of Earth and Blood (Crescent City Book 1),$9.99
4.5 out of 5 stars,Love on the Brain,$10.99
