cursor timestamp xpos ypos event xpath attrs extras
0 1482318441554 0 0 load / {} {}
0 1482318448056 0 0 blur / {} {}
0 1482318457724 0 0 focus / {} {}
0 1482318459228 0 0 blur / {} {}
0 1482318487632 0 0 focus / {} {}
0 1482318488038 523 14 mouseover //*[@id='sfdiv'] {} {"topRight":238,"topLeft":406,"bottomRight":529,"bottomLeft":623,"middle":300,"inTarget":false}
0 1482318488282 410 168 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[2]/div[1]/div[1] {} {"topRight":338,"topLeft":289,"bottomRight":467,"bottomLeft":433,"middle":135,"inTarget":true}
0 1482318488443 284 202 mouseover //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[2]/div[1] {} {"topRight":468,"topLeft":183,"bottomRight":544,"bottomLeft":333,"middle":181,"inTarget":true}
0 1482318488595 205 218 mousemove //*[@id='platop0'] {} {"topRight":549,"topLeft":136,"bottomRight":605,"bottomLeft":288,"middle":245,"inTarget":true}
0 1482318488819 187 222 mousemove //*[@id='platop0'] {} {"topRight":567,"topLeft":130,"bottomRight":619,"bottomLeft":280,"middle":260,"inTarget":true}
0 1482318489044 187 224 mousemove //*[@id='platop0'] {} {"topRight":567,"topLeft":132,"bottomRight":618,"bottomLeft":278,"middle":260,"inTarget":true}
0 1482318489228 187 227 mousemove //*[@id='platop0'] {} {"topRight":568,"topLeft":135,"bottomRight":617,"bottomLeft":275,"middle":259,"inTarget":true}
0 1482318489389 183 234 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":573,"topLeft":139,"bottomRight":617,"bottomLeft":268,"middle":261,"inTarget":true}
0 1482318489542 182 237 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":575,"topLeft":142,"bottomRight":617,"bottomLeft":265,"middle":261,"inTarget":true}
0 1482318489790 181 238 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":576,"topLeft":142,"bottomRight":617,"bottomLeft":263,"middle":262,"inTarget":true}
0 1482318489791 181 238 mousedown //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":576,"topLeft":142,"bottomRight":617,"bottomLeft":263,"middle":262,"inTarget":true}
0 1482318489973 181 238 mouseup //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":576,"topLeft":142,"bottomRight":617,"bottomLeft":263,"middle":262,"inTarget":true}
0 1482318489973 181 238 click //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":576,"topLeft":142,"bottomRight":617,"bottomLeft":263,"middle":262,"inTarget":true}
0 1482318489974 0 0 beforeunload / {} {}
0 1482318490734 0 0 unload / {} {}
