cursor timestamp xpos ypos event xpath attrs extras
0 1486356195475 0 0 load / {} {}
0 1486356195969 280 277 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[2] {} {"topRight":493,"topLeft":229,"bottomRight":518,"bottomLeft":279,"middle":158,"inTarget":true}
0 1486356199381 0 0 scroll / {} {}
0 1486356199536 0 0 scroll / {} {}
0 1486356200085 0 0 scroll / {} {}
0 1486356200237 0 0 scroll / {} {}
0 1486356203118 0 0 scroll / {} {}
0 1486356203272 0 0 scroll / {} {}
0 1486356203466 280 477 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[3] {} {"topRight":593,"topLeft":401,"bottomRight":463,"bottomLeft":156,"middle":229,"inTarget":true}
0 1486356204200 281 482 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[3] {} {"topRight":595,"topLeft":406,"bottomRight":462,"bottomLeft":156,"middle":232,"inTarget":true}
0 1486356204370 292 507 mouseover //*[@id='tvcap']/div {} {"topRight":603,"topLeft":433,"bottomRight":450,"bottomLeft":164,"middle":245,"inTarget":false}
0 1486356204520 299 520 mousemove //*[@id='center_col'] {} {"topRight":606,"topLeft":448,"bottomRight":443,"bottomLeft":171,"middle":251,"inTarget":false}
0 1486356204762 304 528 mousedown //*[@id='rso']/div/div[1]/div/h3/a {} {"topRight":608,"topLeft":457,"bottomRight":438,"bottomLeft":177,"middle":256,"inTarget":false}
0 1486356204873 304 528 mouseup //*[@id='rso']/div/div[1]/div/h3/a {} {"topRight":608,"topLeft":457,"bottomRight":438,"bottomLeft":177,"middle":256,"inTarget":false}
0 1486356204874 304 528 click //*[@id='rso']/div/div[1]/div/h3/a {} {"topRight":608,"topLeft":457,"bottomRight":438,"bottomLeft":177,"middle":256,"inTarget":false}
0 1486356204875 0 0 beforeunload / {} {}
0 1486356205617 304 527 mousemove //*[@id='rso']/div/div[1]/div/h3/a {} {"topRight":608,"topLeft":456,"bottomRight":438,"bottomLeft":177,"middle":255,"inTarget":false}
0 1486356206067 0 0 unload / {} {}
