cursor timestamp xpos ypos event xpath attrs extras
0 1486731052081 0 0 load / {} {}
0 1486731052245 0 0 scroll / {} {}
0 1486731052399 0 0 scroll / {} {}
0 1486731054389 0 0 scroll / {} {}
0 1486731054541 0 0 scroll / {} {}
0 1486731054737 84 375 mousemove //*[@id='rhscol'] {} {"topRight":1020,"topLeft":756,"bottomRight":1028,"bottomLeft":766,"middle":845,"inTarget":false}
0 1486731054887 316 171 mousemove //*[@id='rso']/div[1]/div/div/div/span {} {"topRight":755,"topLeft":478,"bottomRight":904,"bottomLeft":690,"middle":651,"inTarget":false}
0 1486731055133 342 117 mousemove //*[@id='rso']/div[1]/div/h3/a {} {"topRight":726,"topLeft":448,"bottomRight":914,"bottomLeft":714,"middle":647,"inTarget":false}
0 1486731055309 293 117 mousemove //*[@id='rso']/div[1]/div/h3/a {} {"topRight":775,"topLeft":497,"bottomRight":954,"bottomLeft":746,"middle":692,"inTarget":false}
0 1486731055689 292 117 mousemove //*[@id='rso']/div[1]/div/h3/a {} {"topRight":776,"topLeft":498,"bottomRight":955,"bottomLeft":746,"middle":693,"inTarget":false}
0 1486731055852 291 119 mousemove //*[@id='rso']/div[1]/div/h3/a {} {"topRight":777,"topLeft":499,"bottomRight":954,"bottomLeft":746,"middle":693,"inTarget":false}
0 1486731056108 289 123 mousedown //*[@id='rso']/div[1]/div/h3/a {} {"topRight":779,"topLeft":501,"bottomRight":954,"bottomLeft":744,"middle":693,"inTarget":false}
0 1486731056256 289 123 mouseup //*[@id='rso']/div[1]/div/h3/a {} {"topRight":779,"topLeft":501,"bottomRight":954,"bottomLeft":744,"middle":693,"inTarget":false}
0 1486731056257 289 123 click //*[@id='rso']/div[1]/div/h3/a {} {"topRight":779,"topLeft":501,"bottomRight":954,"bottomLeft":744,"middle":693,"inTarget":false}
0 1486731056260 0 0 beforeunload / {} {}
0 1486731057190 0 0 unload / {} {}
