cursor timestamp xpos ypos event xpath attrs extras
0 1486789406388 0 0 load / {} {}
0 1486789414693 0 0 focus / {} {}
0 1486789415155 525 10 mouseover //*[@id='sfdiv'] {} {"topRight":269,"topLeft":407,"bottomRight":438,"bottomLeft":534,"middle":235,"inTarget":false}
0 1486789415337 516 165 mouseover //*[@id='tads']/ol/li/div[3] {} {"topRight":270,"topLeft":393,"bottomRight":331,"bottomLeft":437,"middle":93,"inTarget":true}
0 1486789415487 418 176 mousemove //*[@id='tads']/ol/li/div[3] {} {"topRight":368,"topLeft":300,"bottomRight":408,"bottomLeft":347,"middle":67,"inTarget":true}
0 1486789415639 337 178 mousemove //*[@id='tads']/ol/li/div[3] {} {"topRight":448,"topLeft":223,"bottomRight":480,"bottomLeft":282,"middle":129,"inTarget":true}
0 1486789415792 282 145 mouseover //*[@id='tads']/ol/li/div[1]/cite {} {"topRight":498,"topLeft":160,"bottomRight":543,"bottomLeft":270,"middle":193,"inTarget":true}
0 1486789415970 266 135 mousemove //*[@id='tads']/ol/li/div[1]/cite {} {"topRight":513,"topLeft":142,"bottomRight":562,"bottomLeft":270,"middle":211,"inTarget":true}
0 1486789416161 257 130 mousemove //*[@id='tads']/ol/li/div[1]/cite {} {"topRight":522,"topLeft":132,"bottomRight":572,"bottomLeft":270,"middle":222,"inTarget":true}
0 1486789416450 242 116 mousemove //*[@id='vs0p1c0'] {} {"topRight":536,"topLeft":115,"bottomRight":592,"bottomLeft":276,"middle":242,"inTarget":true}
0 1486789416978 241 116 mousemove //*[@id='vs0p1c0'] {} {"topRight":537,"topLeft":114,"bottomRight":593,"bottomLeft":275,"middle":242,"inTarget":true}
0 1486789417129 240 168 mousemove //*[@id='tads']/ol/li/div[3] {} {"topRight":542,"topLeft":131,"bottomRight":574,"bottomLeft":228,"middle":223,"inTarget":true}
0 1486789417281 240 216 mouseover //*[@id='tads']/ol/li/div[5] {} {"topRight":550,"topLeft":161,"bottomRight":559,"bottomLeft":188,"middle":214,"inTarget":true}
0 1486789417570 240 231 mousemove //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":172,"bottomRight":555,"bottomLeft":176,"middle":213,"inTarget":true}
0 1486789419038 240 232 mousemove //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":173,"bottomRight":555,"bottomLeft":175,"middle":213,"inTarget":true}
0 1486789419133 240 232 mousedown //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":173,"bottomRight":555,"bottomLeft":175,"middle":213,"inTarget":true}
0 1486789419292 240 232 mousemove //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":173,"bottomRight":555,"bottomLeft":175,"middle":213,"inTarget":true}
0 1486789419293 240 232 mouseup //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":173,"bottomRight":555,"bottomLeft":175,"middle":213,"inTarget":true}
0 1486789419295 240 232 click //*[@id='vads-0-0-1-1-0'] {} {"topRight":554,"topLeft":173,"bottomRight":555,"bottomLeft":175,"middle":213,"inTarget":true}
0 1486789419302 0 0 beforeunload / {} {}
0 1486789420008 0 0 unload / {} {}
