cursor timestamp xpos ypos event xpath attrs extras
0 1486853412205 0 0 load / {} {}
0 1486853412584 903 236 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2] {} {"topRight":365,"topLeft":172,"bottomRight":363,"bottomLeft":168,"middle":114,"inTarget":true}
0 1486853412747 1365 329 mousemove /html {} {"topRight":254,"topLeft":617,"bottomRight":125,"bottomLeft":576,"middle":361,"inTarget":false}
0 1486853413349 1365 332 mousemove /html {} {"topRight":256,"topLeft":618,"bottomRight":124,"bottomLeft":576,"middle":362,"inTarget":false}
0 1486853413505 1365 368 mousemove /html {} {"topRight":289,"topLeft":632,"bottomRight":121,"bottomLeft":575,"middle":373,"inTarget":false}
0 1486853413939 1362 371 mousemove /html {} {"topRight":290,"topLeft":630,"bottomRight":119,"bottomLeft":572,"middle":372,"inTarget":false}
0 1486853419082 1362 371 mousedown /html {} {"topRight":290,"topLeft":630,"bottomRight":119,"bottomLeft":572,"middle":372,"inTarget":false}
0 1486853419208 1362 961 mouseup /html {} {"topRight":863,"topLeft":1029,"bottomRight":612,"bottomLeft":830,"middle":806,"inTarget":false}
0 1486853420083 1359 946 mousemove /html {} {"topRight":848,"topLeft":1015,"bottomRight":597,"bottomLeft":817,"middle":791,"inTarget":false}
0 1486853420506 1350 772 mousemove /html {} {"topRight":674,"topLeft":870,"bottomRight":425,"bottomLeft":695,"middle":634,"inTarget":false}
0 1486853420734 1356 766 mousemove /html {} {"topRight":669,"topLeft":869,"bottomRight":421,"bottomLeft":697,"middle":632,"inTarget":false}
0 1486853420884 1356 784 mousemove /html {} {"topRight":687,"topLeft":883,"bottomRight":439,"bottomLeft":707,"middle":647,"inTarget":false}
0 1486853421037 1356 835 mousemove /html {} {"topRight":738,"topLeft":923,"bottomRight":488,"bottomLeft":739,"middle":691,"inTarget":false}
0 1486853421541 1356 862 mousedown /html {} {"topRight":764,"topLeft":944,"bottomRight":514,"bottomLeft":757,"middle":715,"inTarget":false}
0 1486853421739 1356 856 mousemove /html {} {"topRight":758,"topLeft":940,"bottomRight":508,"bottomLeft":753,"middle":709,"inTarget":false}
0 1486853422625 1356 747 mousemove /html {} {"topRight":651,"topLeft":855,"bottomRight":403,"bottomLeft":686,"middle":616,"inTarget":false}
0 1486853422776 1356 396 mousemove /html {} {"topRight":311,"topLeft":636,"bottomRight":118,"bottomLeft":567,"middle":376,"inTarget":false}
0 1486853422911 1356 354 mouseup /html {} {"topRight":272,"topLeft":618,"bottomRight":112,"bottomLeft":566,"middle":360,"inTarget":false}
0 1486853423196 1344 354 mouseover //*[@id='cnt'] {} {"topRight":267,"topLeft":607,"bottomRight":100,"bottomLeft":554,"middle":349,"inTarget":false}
0 1486853423359 642 546 mouseover //*[@id='rso']/div[3]/div[1]/div/h3 {} {"topRight":746,"topLeft":464,"bottomRight":630,"bottomLeft":238,"middle":488,"inTarget":false}
0 1486853423595 627 558 mousemove //*[@id='rso']/div[3]/div[1]/div/h3 {} {"topRight":765,"topLeft":480,"bottomRight":648,"bottomLeft":256,"middle":508,"inTarget":false}
0 1486853423775 519 546 mousemove //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":848,"topLeft":517,"bottomRight":748,"bottomLeft":329,"middle":588,"inTarget":false}
0 1486853426541 519 546 mousedown //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":848,"topLeft":517,"bottomRight":748,"bottomLeft":329,"middle":588,"inTarget":false}
0 1486853426668 519 546 mouseup //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":848,"topLeft":517,"bottomRight":748,"bottomLeft":329,"middle":588,"inTarget":false}
0 1486853426673 0 0 beforeunload / {} {}
0 1486853426679 519 546 click //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":848,"topLeft":517,"bottomRight":748,"bottomLeft":329,"middle":588,"inTarget":false}
0 1486853426893 546 543 mousemove //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":824,"topLeft":501,"bottomRight":722,"bottomLeft":305,"middle":564,"inTarget":false}
0 1486853426993 0 0 unload / {} {}
