cursor timestamp xpos ypos event xpath attrs extras
0 1493124005389 0 0 load / {} {}
0 1493124006117 0 0 focus / {} {}
0 1493124006272 193 109 mouseover //*[@id='tvcap']/div {} {"topRight":549,"topLeft":65,"bottomRight":680,"bottomLeft":407,"middle":314,"inTarget":false}
0 1493124006422 179 256 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":583,"topLeft":158,"bottomRight":618,"bottomLeft":260,"middle":261,"inTarget":true}
0 1493124006576 244 247 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":518,"topLeft":183,"bottomRight":564,"bottomLeft":288,"middle":201,"inTarget":true}
0 1493124006728 434 254 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1] {} {"topRight":342,"topLeft":340,"bottomRight":401,"bottomLeft":400,"middle":55,"inTarget":true}
0 1493124006882 0 0 scroll / {} {}
0 1493124007033 488 385 mouseover //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":377,"topLeft":455,"bottomRight":284,"bottomLeft":381,"middle":93,"inTarget":true}
0 1493124007184 352 292 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[3]/span {} {"topRight":432,"topLeft":291,"bottomRight":447,"bottomLeft":313,"middle":85,"inTarget":true}
0 1493124007593 274 245 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":488,"topLeft":202,"bottomRight":538,"bottomLeft":303,"middle":173,"inTarget":true}
0 1493124007809 263 242 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":498,"topLeft":192,"bottomRight":549,"bottomLeft":301,"middle":184,"inTarget":true}
0 1493124008290 270 251 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1] {} {"topRight":494,"topLeft":203,"bottomRight":539,"bottomLeft":296,"middle":175,"inTarget":true}
0 1493124008441 341 305 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1] {} {"topRight":448,"topLeft":291,"bottomRight":451,"bottomLeft":296,"middle":94,"inTarget":true}
0 1493124008594 351 491 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":549,"topLeft":445,"bottomRight":392,"bottomLeft":224,"middle":201,"inTarget":true}
0 1493124008753 0 0 scroll / {} {}
0 1493124008955 351 281 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2] {} {"topRight":428,"topLeft":283,"bottomRight":454,"bottomLeft":320,"middle":88,"inTarget":true}
0 1493124009282 350 277 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[2]/b {} {"topRight":428,"topLeft":280,"bottomRight":457,"bottomLeft":323,"middle":91,"inTarget":true}
0 1493124009433 247 242 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":513,"topLeft":181,"bottomRight":563,"bottomLeft":294,"middle":199,"inTarget":true}
0 1493124009813 237 243 mousedown //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":523,"topLeft":175,"bottomRight":572,"bottomLeft":289,"middle":209,"inTarget":true}
0 1493124009963 237 243 mouseup //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":523,"topLeft":175,"bottomRight":572,"bottomLeft":289,"middle":209,"inTarget":true}
0 1493124009967 237 243 click //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":523,"topLeft":175,"bottomRight":572,"bottomLeft":289,"middle":209,"inTarget":true}
0 1493124009976 0 0 beforeunload / {} {}
0 1493124010274 237 245 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":524,"topLeft":177,"bottomRight":571,"bottomLeft":287,"middle":208,"inTarget":true}
0 1493124010425 252 256 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1] {} {"topRight":512,"topLeft":195,"bottomRight":552,"bottomLeft":284,"middle":190,"inTarget":true}
0 1493124010577 298 288 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[3] {} {"topRight":480,"topLeft":249,"bottomRight":497,"bottomLeft":280,"middle":139,"inTarget":true}
0 1493124010729 300 348 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[1] {} {"topRight":504,"topLeft":297,"bottomRight":471,"bottomLeft":237,"middle":141,"inTarget":true}
0 1493124010783 0 0 unload / {} {}
