cursor timestamp xpos ypos event xpath attrs extras
0 1493134302945 0 0 load / {} {}
0 1493134303117 533 229 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":722,"topLeft":285,"bottomRight":863,"bottomLeft":552,"middle":517,"inTarget":false}
0 1493134303306 548 171 mousemove //*[@id='rso']/div[1]/div[1]/div/div/div {} {"topRight":699,"topLeft":251,"bottomRight":885,"bottomLeft":598,"middle":527,"inTarget":false}
0 1493134303456 552 149 mouseover //*[@id='rso']/div[1]/div[1]/div/div/div/div[1] {} {"topRight":693,"topLeft":242,"bottomRight":896,"bottomLeft":617,"middle":534,"inTarget":false}
0 1493134303610 548 108 mousemove //*[@id='center_col'] {} {"topRight":696,"topLeft":242,"bottomRight":925,"bottomLeft":656,"middle":559,"inTarget":false}
0 1493134303771 548 108 mousemove //*[@id='center_col'] {} {"topRight":696,"topLeft":242,"bottomRight":925,"bottomLeft":656,"middle":559,"inTarget":false}
0 1493134303958 548 108 mousemove //*[@id='center_col'] {} {"topRight":696,"topLeft":242,"bottomRight":925,"bottomLeft":656,"middle":559,"inTarget":false}
0 1493134304145 548 108 mousemove //*[@id='center_col'] {} {"topRight":696,"topLeft":242,"bottomRight":925,"bottomLeft":656,"middle":559,"inTarget":false}
0 1493134304332 548 108 mousemove //*[@id='center_col'] {} {"topRight":696,"topLeft":242,"bottomRight":925,"bottomLeft":656,"middle":559,"inTarget":false}
0 1493134304482 532 96 mouseover //*[@id='slim_appbar'] {} {"topRight":712,"topLeft":258,"bottomRight":945,"bottomLeft":673,"middle":579,"inTarget":false}
0 1493134304636 414 19 mousemove //*[@id='lst-ib'] {} {"topRight":835,"topLeft":386,"bottomRight":1085,"bottomLeft":794,"middle":720,"inTarget":false}
0 1493134304792 411 17 mousemove //*[@id='lst-ib'] {} {"topRight":838,"topLeft":389,"bottomRight":1089,"bottomLeft":797,"middle":723,"inTarget":false}
0 1493134304943 411 17 mousemove //*[@id='lst-ib'] {} {"topRight":838,"topLeft":389,"bottomRight":1089,"bottomLeft":797,"middle":723,"inTarget":false}
0 1493134305127 411 17 mousemove //*[@id='lst-ib'] {} {"topRight":838,"topLeft":389,"bottomRight":1089,"bottomLeft":797,"middle":723,"inTarget":false}
0 1493134305315 411 17 mousemove //*[@id='lst-ib'] {} {"topRight":838,"topLeft":389,"bottomRight":1089,"bottomLeft":797,"middle":723,"inTarget":false}
0 1493134305503 411 17 mousemove //*[@id='lst-ib'] {} {"topRight":838,"topLeft":389,"bottomRight":1089,"bottomLeft":797,"middle":723,"inTarget":false}
0 1493134305657 410 17 mousemove //*[@id='lst-ib'] {} {"topRight":839,"topLeft":390,"bottomRight":1089,"bottomLeft":797,"middle":724,"inTarget":false}
0 1493134306081 0 0 blur / {} {}
