cursor timestamp xpos ypos event xpath attrs extras
0 1538417860323 0 0 load / {} {}
0 1538417860651 604 182 mouseover //*[@id='tads']/ol/li/div[3] {} {"topRight":162,"topLeft":483,"bottomRight":150,"bottomLeft":479,"middle":169,"inTarget":true}
0 1538417860836 686 288 mousemove //*[@id='rso']/div/div[1]/div/div/div/span {} {"topRight":197,"topLeft":589,"bottomRight":77,"bottomLeft":560,"middle":277,"inTarget":false}
0 1538417861445 686 289 mouseover //*[@id='rso']/div/div[1]/div/div/div/span/font[2]/font[2] {} {"topRight":198,"topLeft":589,"bottomRight":78,"bottomLeft":560,"middle":278,"inTarget":false}
0 1538417861894 700 324 mouseover //*[@id='rso']/div/div[1]/div/div/div/div[2] {} {"topRight":228,"topLeft":614,"bottomRight":97,"bottomLeft":579,"middle":306,"inTarget":false}
0 1538417862053 785 353 mousemove //*[@id='rcnt'] {} {"topRight":256,"topLeft":704,"bottomRight":123,"bottomLeft":667,"middle":395,"inTarget":false}
0 1538417864386 697 358 mouseover //*[@id='rso']/div/div[2]/div/h3 {} {"topRight":262,"topLeft":625,"bottomRight":130,"bottomLeft":582,"middle":323,"inTarget":false}
0 1538417864537 267 376 mousemove //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":551,"topLeft":309,"bottomRight":497,"bottomLeft":197,"middle":268,"inTarget":false}
0 1538417864919 240 379 mousemove //*[@id='rso']/div/div[2]/div/div/div/div[1]/cite/font[2]/font {} {"topRight":576,"topLeft":301,"bottomRight":524,"bottomLeft":181,"middle":288,"inTarget":false}
0 1538417868501 240 394 mouseover //*[@id='rso']/div/div[2]/div/div/div/div[1]/cite/font[2]/font {} {"topRight":583,"topLeft":315,"bottomRight":528,"bottomLeft":193,"middle":299,"inTarget":false}
0 1538417868653 250 419 mousemove //*[@id='rso']/div/div[2]/div/div/div/span/font[2]/font {} {"topRight":588,"topLeft":342,"bottomRight":526,"bottomLeft":219,"middle":312,"inTarget":false}
0 1538417868805 258 432 mouseover //*[@id='rso']/div/div[2]/div/div/div/div[2] {} {"topRight":589,"topLeft":357,"bottomRight":524,"bottomLeft":234,"middle":318,"inTarget":false}
0 1538417868969 271 460 mousemove //*[@id='rso']/div {} {"topRight":594,"topLeft":387,"bottomRight":523,"bottomLeft":265,"middle":335,"inTarget":false}
0 1538417869119 274 469 mousemove //*[@id='rso']/div {} {"topRight":598,"topLeft":397,"bottomRight":524,"bottomLeft":274,"middle":341,"inTarget":false}
0 1538417869302 283 489 mousemove //*[@id='rso']/div/div[3]/div/h3/a/font/font[1] {} {"topRight":603,"topLeft":419,"bottomRight":525,"bottomLeft":296,"middle":355,"inTarget":false}
0 1538417869851 283 489 mousedown //*[@id='rso']/div/div[3]/div/h3/a/font/font[1] {} {"topRight":603,"topLeft":419,"bottomRight":525,"bottomLeft":296,"middle":355,"inTarget":false}
0 1538417869965 283 489 mouseup //*[@id='rso']/div/div[3]/div/h3/a/font/font[1] {} {"topRight":603,"topLeft":419,"bottomRight":525,"bottomLeft":296,"middle":355,"inTarget":false}
0 1538417869965 283 489 click //*[@id='rso']/div/div[3]/div/h3/a/font/font[1] {} {"topRight":603,"topLeft":419,"bottomRight":525,"bottomLeft":296,"middle":355,"inTarget":false}
0 1538417869969 0 0 beforeunload / {} {}
0 1538417870222 0 0 unload / {} {}
