cursor timestamp xpos ypos event xpath attrs extras
0 1538449877003 0 0 load / {} {}
0 1538449878173 0 0 focus / {} {}
0 1538449880037 358 1 mouseover //*[@id='searchform']/div/div {} {"topRight":400,"topLeft":253,"bottomRight":502,"bottomLeft":395,"middle":227,"inTarget":false}
0 1538449880192 322 78 mouseover //*[@id='resultStats']/nobr {} {"topRight":423,"topLeft":196,"bottomRight":487,"bottomLeft":312,"middle":177,"inTarget":false}
0 1538449880342 245 189 mouseover //*[@id='uid_WC7LvgAB3SYKJsKMlwt6kg_0']/div/div/div/div[1]/div[2]/div[1]/div[1]/a/div {} {"topRight":506,"topLeft":143,"bottomRight":516,"bottomLeft":177,"middle":193,"inTarget":true}
0 1538449880509 202 227 mousemove //*[@id='platop0'] {} {"topRight":555,"topLeft":142,"bottomRight":550,"bottomLeft":120,"middle":234,"inTarget":true}
0 1538449880676 183 189 mousemove //*[@id='platop0'] {} {"topRight":567,"topLeft":100,"bottomRight":577,"bottomLeft":144,"middle":254,"inTarget":true}
0 1538449880842 180 89 mousemove //*[@id='resultStats'] {} {"topRight":564,"topLeft":55,"bottomRight":610,"bottomLeft":239,"middle":285,"inTarget":false}
0 1538449880992 218 55 mousemove //*[@id='searchform']/div/div {} {"topRight":528,"topLeft":103,"bottomRight":590,"bottomLeft":282,"middle":270,"inTarget":false}
0 1538449881142 259 34 mousemove //*[@id='lst-ib'] {} {"topRight":490,"topLeft":149,"bottomRight":564,"bottomLeft":316,"middle":252,"inTarget":false}
0 1538449881292 281 27 mousemove //*[@id='lst-ib'] {} {"topRight":470,"topLeft":172,"bottomRight":549,"bottomLeft":332,"middle":243,"inTarget":false}
0 1538449881893 285 25 mousedown //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882029 285 25 mouseup //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882030 285 25 click //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882030 0 0 beforeunload / {} {}
0 1538449882109 285 25 mousedown //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882229 285 25 mouseup //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882229 285 25 click //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882229 0 0 select //*[@id='lst-ib'] {} {}
0 1538449882229 0 0 beforeunload / {} {}
0 1538449882332 285 25 mousedown //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882453 285 25 mouseup //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882453 285 25 click //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882453 0 0 select //*[@id='lst-ib'] {} {}
0 1538449882454 0 0 beforeunload / {} {}
0 1538449882833 285 25 mousedown //*[@id='lst-ib'] {} {"topRight":466,"topLeft":177,"bottomRight":547,"bottomLeft":336,"middle":242,"inTarget":false}
0 1538449882845 0 0 unload / {} {}
