cursor timestamp xpos ypos event xpath attrs extras
0 1482469546496 265 215 mouseover //*[@id='rso']/div {} {"topRight":810,"topLeft":536,"bottomRight":804,"bottomLeft":527,"middle":665,"inTarget":false}
0 1482469546723 245 254 mouseover //*[@id='rso']/div/div[2]/div/div/div/div/cite {} {"topRight":836,"topLeft":565,"bottomRight":823,"bottomLeft":545,"middle":688,"inTarget":false}
0 1482469546743 0 0 load / {} {}
0 1482469547008 243 238 mousemove //*[@id='rso']/div/div[2]/div/h3/a {} {"topRight":835,"topLeft":563,"bottomRight":825,"bottomLeft":547,"middle":688,"inTarget":false}
0 1482469547244 242 235 mousedown //*[@id='rso']/div/div[2]/div/h3/a {} {"topRight":836,"topLeft":563,"bottomRight":826,"bottomLeft":549,"middle":689,"inTarget":false}
0 1482469547484 242 235 mouseover //*[@id='rso']/div {} {"topRight":836,"topLeft":563,"bottomRight":826,"bottomLeft":549,"middle":689,"inTarget":false}
0 1482469547486 242 235 mouseup //*[@id='rso']/div {} {"topRight":836,"topLeft":563,"bottomRight":826,"bottomLeft":549,"middle":689,"inTarget":false}
0 1482469547986 242 235 mousemove //*[@id='rso']/div {} {"topRight":836,"topLeft":563,"bottomRight":826,"bottomLeft":549,"middle":689,"inTarget":false}
0 1482469552614 242 237 mousemove //*[@id='rso']/div {} {"topRight":836,"topLeft":563,"bottomRight":826,"bottomLeft":548,"middle":689,"inTarget":false}
0 1482469552769 242 250 mousemove //*[@id='rso']/div/div[2]/div/h3/a/font/font[2] {} {"topRight":838,"topLeft":567,"bottomRight":826,"bottomLeft":548,"middle":690,"inTarget":false}
0 1482469553269 242 252 mousemove //*[@id='rso']/div/div[2]/div/h3/a/font/font[2] {} {"topRight":839,"topLeft":567,"bottomRight":826,"bottomLeft":548,"middle":691,"inTarget":false}
0 1482469553423 239 272 mousemove //*[@id='rso']/div/div[2]/div/div/div/div/cite/font[2]/font {} {"topRight":845,"topLeft":575,"bottomRight":829,"bottomLeft":551,"middle":696,"inTarget":false}
0 1482469553632 227 354 mousemove //*[@id='rso']/div {} {"topRight":877,"topLeft":615,"bottomRight":846,"bottomLeft":571,"middle":723,"inTarget":false}
0 1482469553789 227 264 mouseover //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":856,"topLeft":585,"bottomRight":841,"bottomLeft":563,"middle":707,"inTarget":false}
0 1482469553976 229 256 mousemove //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":852,"topLeft":581,"bottomRight":839,"bottomLeft":561,"middle":704,"inTarget":false}
0 1482469554128 229 253 mousedown //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":852,"topLeft":580,"bottomRight":839,"bottomLeft":561,"middle":704,"inTarget":false}
0 1482469554200 229 253 mouseup //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":852,"topLeft":580,"bottomRight":839,"bottomLeft":561,"middle":704,"inTarget":false}
0 1482469554201 229 253 click //*[@id='rso']/div/div[2]/div/h3/a/font/font[1] {} {"topRight":852,"topLeft":580,"bottomRight":839,"bottomLeft":561,"middle":704,"inTarget":false}
0 1482469554204 0 0 beforeunload / {} {}
0 1482469554924 0 0 unload / {} {}
