cursor timestamp xpos ypos event xpath attrs extras
0 1486159438494 0 0 load / {} {}
0 1486159438952 387 377 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":447,"topLeft":375,"bottomRight":374,"bottomLeft":285,"middle":90,"inTarget":true}
0 1486159440287 0 0 scroll / {} {}
0 1486159440453 0 0 scroll / {} {}
0 1486159443019 0 0 scroll / {} {}
0 1486159443170 0 0 scroll / {} {}
0 1486159443819 382 575 mousemove //*[@id='rso']/div[1] {} {"topRight":591,"topLeft":533,"bottomRight":369,"bottomLeft":266,"middle":279,"inTarget":false}
0 1486159443971 274 552 mouseover //*[@id='rso']/div[1]/div[1]/div/div/div/div/cite {} {"topRight":646,"topLeft":469,"bottomRight":471,"bottomLeft":156,"middle":298,"inTarget":false}
0 1486159444123 226 519 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":661,"topLeft":424,"bottomRight":517,"bottomLeft":101,"middle":302,"inTarget":false}
0 1486159444339 231 513 mousemove //*[@id='center_col'] {} {"topRight":653,"topLeft":420,"bottomRight":511,"bottomLeft":104,"middle":294,"inTarget":false}
0 1486159444489 233 516 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":654,"topLeft":423,"bottomRight":509,"bottomLeft":107,"middle":295,"inTarget":false}
0 1486159444835 236 522 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":655,"topLeft":430,"bottomRight":507,"bottomLeft":111,"middle":297,"inTarget":false}
0 1486159444987 412 503 mousemove //*[@id='tads'] {} {"topRight":516,"topLeft":488,"bottomRight":330,"bottomLeft":284,"middle":203,"inTarget":false}
0 1486159445219 443 504 mousemove //*[@id='tads'] {} {"topRight":498,"topLeft":508,"bottomRight":299,"bottomLeft":315,"middle":203,"inTarget":false}
0 1486159445379 430 525 mousemove //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":522,"topLeft":516,"bottomRight":313,"bottomLeft":303,"middle":224,"inTarget":false}
0 1486159445651 422 522 mousedown //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":525,"topLeft":509,"bottomRight":321,"bottomLeft":295,"middle":221,"inTarget":false}
0 1486159445801 408 524 mousemove //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":535,"topLeft":503,"bottomRight":335,"bottomLeft":281,"middle":225,"inTarget":false}
0 1486159445954 348 525 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":575,"topLeft":473,"bottomRight":395,"bottomLeft":222,"middle":240,"inTarget":false}
0 1486159446106 286 530 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":623,"topLeft":452,"bottomRight":457,"bottomLeft":162,"middle":273,"inTarget":false}
0 1486159446258 226 522 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":663,"topLeft":427,"bottomRight":517,"bottomLeft":101,"middle":304,"inTarget":false}
0 1486159446409 189 522 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":692,"topLeft":420,"bottomRight":554,"bottomLeft":66,"middle":331,"inTarget":false}
0 1486159446561 172 521 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":705,"topLeft":417,"bottomRight":571,"bottomLeft":51,"middle":343,"inTarget":false}
0 1486159446713 162 520 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":713,"topLeft":415,"bottomRight":580,"bottomLeft":42,"middle":350,"inTarget":false}
0 1486159446865 151 520 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":722,"topLeft":415,"bottomRight":591,"bottomLeft":33,"middle":359,"inTarget":false}
0 1486159447291 147 520 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":725,"topLeft":414,"bottomRight":595,"bottomLeft":31,"middle":362,"inTarget":false}
0 1486159447441 127 521 mouseover //*[@id='center_col'] {} {"topRight":742,"topLeft":415,"bottomRight":616,"bottomLeft":25,"middle":379,"inTarget":false}
0 1486159447617 127 521 mousemove //*[@id='center_col'] {} {"topRight":742,"topLeft":415,"bottomRight":616,"bottomLeft":25,"middle":379,"inTarget":false}
0 1486159447770 339 528 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":584,"topLeft":472,"bottomRight":404,"bottomLeft":213,"middle":246,"inTarget":false}
0 1486159447835 400 521 mouseup //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":538,"topLeft":496,"bottomRight":343,"bottomLeft":273,"middle":223,"inTarget":false}
0 1486159447836 400 521 click //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":538,"topLeft":496,"bottomRight":343,"bottomLeft":273,"middle":223,"inTarget":false}
0 1486159447851 414 516 mousedown //*[@id='rso']/div[1]/div[1]/div/h3 {} {"topRight":525,"topLeft":500,"bottomRight":329,"bottomLeft":287,"middle":216,"inTarget":false}
0 1486159447866 430 513 mouseup //*[@id='center_col'] {} {"topRight":513,"topLeft":507,"bottomRight":312,"bottomLeft":302,"middle":212,"inTarget":false}
0 1486159447866 430 513 click //*[@id='center_col'] {} {"topRight":513,"topLeft":507,"bottomRight":312,"bottomLeft":302,"middle":212,"inTarget":false}
0 1486159447946 468 506 mousedown //*[@id='tads'] {} {"topRight":485,"topLeft":525,"bottomRight":274,"bottomLeft":340,"middle":208,"inTarget":false}
0 1486159448122 469 507 mousemove //*[@id='tads'] {} {"topRight":485,"topLeft":526,"bottomRight":273,"bottomLeft":341,"middle":209,"inTarget":false}
