cursor timestamp xpos ypos event xpath attrs extras
0 1486389528357 0 0 load / {} {}
0 1486389528514 383 264 mouseover //*[@id='uid_WD69HAAC6R0KFM2HoQbsnA_0']/div/div/div/div[1]/div[3]/div[1]/div[2] {} {"topRight":394,"topLeft":300,"bottomRight":366,"bottomLeft":262,"middle":73,"inTarget":true}
0 1486389528665 654 368 mouseover //*[@id='rso']/div[1]/div[1]/div/div/div/div[1]/cite {} {"topRight":277,"topLeft":588,"bottomRight":101,"bottomLeft":528,"middle":267,"inTarget":false}
0 1486389528817 831 399 mousemove //*[@id='rcnt'] {} {"topRight":306,"topLeft":762,"bottomRight":116,"bottomLeft":707,"middle":436,"inTarget":false}
0 1486389528969 842 405 mousemove //*[@id='rcnt'] {} {"topRight":315,"topLeft":774,"bottomRight":128,"bottomLeft":719,"middle":449,"inTarget":false}
0 1486389529133 838 407 mousemove //*[@id='rcnt'] {} {"topRight":315,"topLeft":771,"bottomRight":127,"bottomLeft":715,"middle":446,"inTarget":false}
0 1486389529377 837 409 mousemove //*[@id='rcnt'] {} {"topRight":317,"topLeft":771,"bottomRight":127,"bottomLeft":714,"middle":446,"inTarget":false}
0 1486389529529 762 466 mousemove //*[@id='rcnt'] {} {"topRight":360,"topLeft":729,"bottomRight":145,"bottomLeft":650,"middle":412,"inTarget":false}
0 1486389529680 662 499 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/div {} {"topRight":401,"topLeft":663,"bottomRight":195,"bottomLeft":563,"middle":364,"inTarget":false}
0 1486389529833 592 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":407,"topLeft":598,"bottomRight":222,"bottomLeft":491,"middle":312,"inTarget":false}
0 1486389530399 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389530580 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389530760 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389531391 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389531585 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389531765 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532396 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532589 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532758 587 484 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532817 587 484 mousedown //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532924 587 484 mouseup //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532925 587 484 click //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":409,"topLeft":595,"bottomRight":226,"bottomLeft":487,"middle":309,"inTarget":false}
0 1486389532926 0 0 beforeunload / {} {}
0 1486389533239 0 0 unload / {} {}
