cursor timestamp xpos ypos event xpath attrs extras
0 1486745077231 0 0 load / {} {}
0 1486745086313 0 0 focus / {} {}
0 1486745086839 699 1 mouseover //*[@id='searchform']/div/div {} {"topRight":109,"topLeft":580,"bottomRight":306,"bottomLeft":646,"middle":331,"inTarget":false}
0 1486745086989 618 91 mousemove //*[@id='slim_appbar'] {} {"topRight":126,"topLeft":490,"bottomRight":247,"bottomLeft":534,"middle":213,"inTarget":false}
0 1486745087140 510 90 mousemove //*[@id='slim_appbar'] {} {"topRight":234,"topLeft":382,"bottomRight":317,"bottomLeft":438,"middle":134,"inTarget":false}
0 1486745087325 441 112 mouseover //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":359,"bottomLeft":367,"middle":90,"inTarget":true}
0 1486745087708 441 113 mousemove //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745088991 441 113 mousemove //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745089075 441 113 mousedown //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745089203 441 113 mouseup //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745089205 441 113 click //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745089209 0 0 beforeunload / {} {}
0 1486745089389 441 113 mousemove //*[@id='vs0p1c0'] {} {"topRight":303,"topLeft":313,"bottomRight":358,"bottomLeft":367,"middle":89,"inTarget":true}
0 1486745089540 813 278 mousemove //*[@id='rcnt'] {} {"topRight":191,"topLeft":708,"bottomRight":74,"bottomLeft":685,"middle":385,"inTarget":false}
0 1486745089804 820 282 mousemove //*[@id='rcnt'] {} {"topRight":197,"topLeft":716,"bottomRight":79,"bottomLeft":692,"middle":392,"inTarget":false}
0 1486745089971 802 278 mousemove //*[@id='rcnt'] {} {"topRight":187,"topLeft":697,"bottomRight":64,"bottomLeft":675,"middle":374,"inTarget":false}
0 1486745090185 0 0 unload / {} {}
