cursor timestamp xpos ypos event xpath attrs extras
0 1489454436825 0 0 load / {} {}
0 1489454437288 968 381 mousemove //*[@id='rhs_block']/div[2]/div[1]/div/div[1]/div[2]/div[1]/div {} {"topRight":390,"topLeft":328,"bottomRight":277,"bottomLeft":179,"middle":156,"inTarget":false}
0 1489454445754 970 381 mousemove //*[@id='rhs_block']/div[2]/div[1]/div/div[1]/div[2]/div[1]/div {} {"topRight":388,"topLeft":329,"bottomRight":275,"bottomLeft":181,"middle":155,"inTarget":false}
0 1489454445910 984 376 mousemove //*[@id='rhs_block'] {} {"topRight":375,"topLeft":332,"bottomRight":260,"bottomLeft":195,"middle":147,"inTarget":false}
0 1489454446466 1007 362 mousemove //*[@id='rhs_block'] {} {"topRight":349,"topLeft":336,"bottomRight":237,"bottomLeft":217,"middle":129,"inTarget":false}
0 1489454447010 1176 352 mousemove //*[@id='rhs_block']/div[1]/div/div[4]/div[2] {} {"topRight":255,"topLeft":458,"bottomRight":68,"bottomLeft":386,"middle":199,"inTarget":true}
0 1489454447166 1260 452 mousemove //*[@id='cnt'] {} {"topRight":346,"topLeft":584,"bottomRight":93,"bottomLeft":479,"middle":327,"inTarget":false}
0 1489454447566 1268 491 mousemove //*[@id='cnt'] {} {"topRight":386,"topLeft":614,"bottomRight":133,"bottomLeft":496,"middle":360,"inTarget":false}
0 1489454447720 1310 578 mousemove //*[@id='cnt'] {} {"topRight":477,"topLeft":702,"bottomRight":228,"bottomLeft":564,"middle":453,"inTarget":false}
0 1489454448727 1357 632 mouseover /html {} {"topRight":538,"topLeft":773,"bottomRight":295,"bottomLeft":629,"middle":524,"inTarget":false}
0 1489454448728 1357 632 mousedown /html {} {"topRight":538,"topLeft":773,"bottomRight":295,"bottomLeft":629,"middle":524,"inTarget":false}
0 1489454448890 0 0 scroll / {} {}
0 1489454449040 0 0 scroll / {} {}
0 1489454449169 1357 759 mouseup /html {} {"topRight":663,"topLeft":865,"bottomRight":415,"bottomLeft":693,"middle":626,"inTarget":false}
0 1489454450840 1357 832 mouseover /html {} {"topRight":735,"topLeft":921,"bottomRight":485,"bottomLeft":738,"middle":689,"inTarget":false}
0 1489454450840 1357 832 mousedown /html {} {"topRight":735,"topLeft":921,"bottomRight":485,"bottomLeft":738,"middle":689,"inTarget":false}
0 1489454451006 0 0 scroll / {} {}
0 1489454451156 0 0 scroll / {} {}
0 1489454451248 1357 935 mouseup /html {} {"topRight":837,"topLeft":1004,"bottomRight":586,"bottomLeft":808,"middle":780,"inTarget":false}
0 1489454451406 0 0 scroll / {} {}
0 1489454455754 1357 1032 mouseover /html {} {"topRight":933,"topLeft":1086,"bottomRight":681,"bottomLeft":879,"middle":868,"inTarget":false}
0 1489454455754 1357 1032 mousedown /html {} {"topRight":933,"topLeft":1086,"bottomRight":681,"bottomLeft":879,"middle":868,"inTarget":false}
0 1489454455906 0 0 scroll / {} {}
0 1489454456073 0 0 scroll / {} {}
0 1489454456177 1357 1148 mouseup /html {} {"topRight":1048,"topLeft":1186,"bottomRight":796,"bottomLeft":971,"middle":976,"inTarget":false}
0 1489454456339 0 0 scroll / {} {}
0 1489454456926 1357 1232 mouseover /html {} {"topRight":1132,"topLeft":1261,"bottomRight":879,"bottomLeft":1040,"middle":1055,"inTarget":false}
0 1489454456926 1357 1232 mousedown /html {} {"topRight":1132,"topLeft":1261,"bottomRight":879,"bottomLeft":1040,"middle":1055,"inTarget":false}
0 1489454457089 0 0 scroll / {} {}
