cursor timestamp xpos ypos event xpath attrs extras
0 1493138021521 0 0 load / {} {}
0 1493138021815 390 447 mousemove //*[@id='rso']/div[2]/div/div[2]/span {} {"topRight":920,"topLeft":526,"bottomRight":856,"bottomLeft":405,"middle":642,"inTarget":false}
0 1493138021975 194 428 mousemove //*[@id='uid_0'] {} {"topRight":1098,"topLeft":677,"bottomRight":1053,"bottomLeft":602,"middle":832,"inTarget":false}
0 1493138022627 0 1 scroll / {} {}
0 1493138022778 0 169 scroll / {} {}
0 1493138023227 0 343 scroll / {} {}
0 1493138023377 0 443 scroll / {} {}
0 1493138023527 0 560 scroll / {} {}
0 1493138024208 113 991 mousemove //*[@id='rcnt'] {} {"topRight":1436,"topLeft":1114,"bottomRight":1229,"bottomLeft":830,"middle":1133,"inTarget":false}
0 1493138026047 112 990 mousemove //*[@id='rcnt'] {} {"topRight":1436,"topLeft":1114,"bottomRight":1229,"bottomLeft":830,"middle":1133,"inTarget":false}
0 1493138026197 111 989 mousemove //*[@id='rcnt'] {} {"topRight":1436,"topLeft":1114,"bottomRight":1230,"bottomLeft":830,"middle":1133,"inTarget":false}
0 1493138026457 111 988 mousemove //*[@id='rcnt'] {} {"topRight":1436,"topLeft":1113,"bottomRight":1229,"bottomLeft":830,"middle":1133,"inTarget":false}
0 1493138026629 222 1023 mouseover //*[@id='rso']/div[5]/div {} {"topRight":1373,"topLeft":1079,"bottomRight":1143,"bottomLeft":765,"middle":1069,"inTarget":false}
0 1493138026786 343 1047 mousemove //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1303,"topLeft":1042,"bottomRight":1048,"bottomLeft":698,"middle":1000,"inTarget":false}
0 1493138026952 367 1054 mousemove //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1291,"topLeft":1038,"bottomRight":1031,"bottomLeft":688,"middle":989,"inTarget":false}
0 1493138027134 406 1044 mousemove //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1258,"topLeft":1014,"bottomRight":993,"bottomLeft":657,"middle":956,"inTarget":false}
0 1493138027316 414 1055 mousemove //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1261,"topLeft":1021,"bottomRight":992,"bottomLeft":661,"middle":960,"inTarget":false}
0 1493138027837 415 1063 mousemove //*[@id='rso']/div[5]/div/div[2]/div/div/div/div {} {"topRight":1266,"topLeft":1028,"bottomRight":996,"bottomLeft":667,"middle":965,"inTarget":false}
0 1493138027997 436 1063 mousemove //*[@id='rso']/div[5]/div/div[2]/div/div/div/div {} {"topRight":1252,"topLeft":1020,"bottomRight":979,"bottomLeft":656,"middle":952,"inTarget":false}
0 1493138028205 440 1061 mouseover //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1248,"topLeft":1017,"bottomRight":974,"bottomLeft":652,"middle":948,"inTarget":false}
0 1493138028356 430 1051 mousemove //*[@id='rso']/div[5]/div/div[2]/div/h3/a {} {"topRight":1247,"topLeft":1011,"bottomRight":977,"bottomLeft":649,"middle":947,"inTarget":false}
0 1493138028506 405 1034 mousemove //*[@id='rso']/div[5]/div {} {"topRight":1251,"topLeft":1005,"bottomRight":989,"bottomLeft":649,"middle":949,"inTarget":false}
0 1493138028656 341 1027 mousemove //*[@id='rso']/div[5]/div {} {"topRight":1290,"topLeft":1025,"bottomRight":1040,"bottomLeft":684,"middle":987,"inTarget":false}
0 1493138028806 261 1022 mousemove //*[@id='rso']/div[5]/div {} {"topRight":1344,"topLeft":1058,"bottomRight":1108,"bottomLeft":736,"middle":1040,"inTarget":false}
0 1493138028957 268 644 mouseover //*[@id='rso']/div[3]/div/h3/a {} {"topRight":1114,"topLeft":750,"bottomRight":985,"bottomLeft":539,"middle":821,"inTarget":false}
0 1493138031709 0 570 focus / {} {}
0 1493138031735 0 570 blur / {} {}
0 1493138037754 0 570 focus / {} {}
0 1493138038023 700 571 mouseover //*[@id='rso']/div[2]/div {} {"topRight":716,"topLeft":474,"bottomRight":547,"bottomLeft":108,"middle":412,"inTarget":false}
0 1493138038175 405 949 mousemove //*[@id='rso']/div[5]/div/div[1]/div/h3 {} {"topRight":1189,"topLeft":927,"bottomRight":946,"bottomLeft":583,"middle":886,"inTarget":false}
0 1493138038703 412 1008 mousemove //*[@id='rso']/div[5]/div/div[1]/div/div/div/span {} {"topRight":1227,"topLeft":978,"bottomRight":969,"bottomLeft":624,"middle":925,"inTarget":false}
0 1493138038860 0 550 scroll / {} {}
0 1493138039010 0 400 scroll / {} {}
0 1493138039165 405 759 mousemove //*[@id='rso']/div[4]/div/div/div[1]/div[2]/div[1]/div/div/div {} {"topRight":1063,"topLeft":758,"bottomRight":875,"bottomLeft":458,"middle":760,"inTarget":false}
0 1493138039477 0 341 scroll / {} {}
0 1493138039627 0 255 scroll / {} {}
0 1493138039777 0 135 scroll / {} {}
0 1493138040076 388 479 mousemove //*[@id='rso']/div[2]/div {} {"topRight":934,"topLeft":548,"bottomRight":857,"bottomLeft":403,"middle":652,"inTarget":false}
0 1493138040255 388 477 mousemove //*[@id='rso']/div[2]/div {} {"topRight":933,"topLeft":547,"bottomRight":857,"bottomLeft":403,"middle":651,"inTarget":false}
0 1493138040627 0 111 scroll / {} {}
0 1493138040777 0 57 scroll / {} {}
0 1493138040927 0 7 scroll / {} {}
0 1493138041095 385 358 mouseover //*[@id='rso']/div[2]/div {} {"topRight":895,"topLeft":477,"bottomRight":873,"bottomLeft":433,"middle":634,"inTarget":false}
0 1493138041247 407 348 mousemove //*[@id='rso']/div[2]/div/div[1] {} {"topRight":871,"topLeft":453,"bottomRight":853,"bottomLeft":416,"middle":611,"inTarget":false}
0 1493138041398 579 312 mousemove //*[@id='rso'] {} {"topRight":696,"topLeft":295,"bottomRight":694,"bottomLeft":290,"middle":438,"inTarget":false}
0 1493138041603 643 281 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/span {} {"topRight":626,"topLeft":229,"bottomRight":644,"bottomLeft":273,"middle":375,"inTarget":false}
0 1493138041817 637 287 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div {} {"topRight":633,"topLeft":237,"bottomRight":647,"bottomLeft":271,"middle":381,"inTarget":false}
0 1493138042013 611 293 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div {} {"topRight":660,"topLeft":259,"bottomRight":669,"bottomLeft":282,"middle":406,"inTarget":false}
0 1493138042499 605 302 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div {} {"topRight":668,"topLeft":270,"bottomRight":672,"bottomLeft":279,"middle":412,"inTarget":false}
0 1493138042649 597 311 mousemove //*[@id='rso'] {} {"topRight":679,"topLeft":282,"bottomRight":677,"bottomLeft":278,"middle":420,"inTarget":false}
0 1493138042803 582 323 mousemove //*[@id='rso'] {} {"topRight":697,"topLeft":301,"bottomRight":688,"bottomLeft":280,"middle":435,"inTarget":false}
0 1493138042988 574 432 mousemove //*[@id='rso']/div[2]/div/div[2]/span {} {"topRight":745,"topLeft":391,"bottomRight":675,"bottomLeft":230,"middle":460,"inTarget":false}
0 1493138043139 340 351 mouseover //*[@id='rso']/div[2]/div/div[1] {} {"topRight":937,"topLeft":512,"bottomRight":918,"bottomLeft":478,"middle":678,"inTarget":false}
0 1493138043973 0 0 blur / {} {}
0 1493138046282 1 284 mouseover //*[@id='rhscol'] {} {"topRight":1256,"topLeft":809,"bottomRight":1264,"bottomLeft":821,"middle":1016,"inTarget":false}
0 1493138046432 417 367 mousemove //*[@id='rso']/div[2]/div/div[2]/div[2]/a {} {"topRight":867,"topLeft":455,"bottomRight":839,"bottomLeft":400,"middle":603,"inTarget":false}
0 1493138046582 454 367 mousemove //*[@id='rso']/div[2]/div/div[2]/div[2]/a {} {"topRight":832,"topLeft":425,"bottomRight":803,"bottomLeft":366,"middle":566,"inTarget":false}
0 1493138046733 472 322 mousemove //*[@id='rso'] {} {"topRight":802,"topLeft":384,"bottomRight":795,"bottomLeft":370,"middle":545,"inTarget":false}
0 1493138046888 493 269 mouseover //*[@id='rso']/div[1]/div[2]/div/div/div {} {"topRight":768,"topLeft":339,"bottomRight":789,"bottomLeft":383,"middle":525,"inTarget":false}
0 1493138047125 494 259 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/div {} {"topRight":765,"topLeft":333,"bottomRight":791,"bottomLeft":389,"middle":525,"inTarget":false}
0 1493138047281 496 250 mouseover //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":762,"topLeft":327,"bottomRight":792,"bottomLeft":393,"middle":524,"inTarget":false}
0 1493138047437 496 232 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":759,"topLeft":320,"bottomRight":798,"bottomLeft":405,"middle":527,"inTarget":false}
0 1493138049785 497 233 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":758,"topLeft":319,"bottomRight":797,"bottomLeft":404,"middle":525,"inTarget":false}
0 1493138049935 495 239 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":761,"topLeft":324,"bottomRight":797,"bottomLeft":401,"middle":527,"inTarget":false}
0 1493138051700 493 246 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":764,"topLeft":328,"bottomRight":796,"bottomLeft":398,"middle":528,"inTarget":false}
0 1493138051971 493 245 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":764,"topLeft":328,"bottomRight":797,"bottomLeft":399,"middle":528,"inTarget":false}
0 1493138052123 485 193 mousemove //*[@id='rso']/div[1]/div[1]/div/div/div/div[2] {} {"topRight":764,"topLeft":317,"bottomRight":823,"bottomLeft":441,"middle":544,"inTarget":false}
0 1493138052273 487 132 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":757,"topLeft":304,"bottomRight":847,"bottomLeft":485,"middle":559,"inTarget":false}
0 1493138052481 495 116 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":749,"topLeft":295,"bottomRight":847,"bottomLeft":493,"middle":556,"inTarget":false}
0 1493138053491 494 115 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":750,"topLeft":296,"bottomRight":848,"bottomLeft":494,"middle":558,"inTarget":false}
