cursor timestamp xpos ypos event xpath attrs extras
0 1538427299514 0 0 load / {} {}
0 1538427299802 698 152 mousemove //*[@id='tads']/ol/li/div[2] {} {"topRight":69,"topLeft":572,"bottomRight":159,"bottomLeft":590,"middle":267,"inTarget":true}
0 1538427299965 1300 299 mousemove //*[@id='cnt'] {} {"topRight":591,"topLeft":1189,"bottomRight":556,"bottomLeft":1172,"middle":869,"inTarget":false}
0 1538427300263 1319 301 mousemove //*[@id='cnt'] {} {"topRight":609,"topLeft":1208,"bottomRight":575,"bottomLeft":1191,"middle":889,"inTarget":false}
0 1538427300599 1319 302 mousemove //*[@id='cnt'] {} {"topRight":609,"topLeft":1208,"bottomRight":575,"bottomLeft":1191,"middle":889,"inTarget":false}
0 1538427301090 1320 298 mousemove //*[@id='cnt'] {} {"topRight":609,"topLeft":1208,"bottomRight":576,"bottomLeft":1192,"middle":889,"inTarget":false}
0 1538427301277 1321 298 mousemove //*[@id='cnt'] {} {"topRight":610,"topLeft":1209,"bottomRight":577,"bottomLeft":1193,"middle":890,"inTarget":false}
0 1538427301430 1504 273 mousemove //*[@id='cnt'] {} {"topRight":779,"topLeft":1387,"bottomRight":761,"bottomLeft":1376,"middle":1070,"inTarget":false}
0 1538427301658 1547 270 mousemove //*[@id='cnt'] {} {"topRight":821,"topLeft":1429,"bottomRight":804,"bottomLeft":1419,"middle":1113,"inTarget":false}
0 1538427301809 1637 193 mousemove //*[@id='cnt'] {} {"topRight":898,"topLeft":1512,"bottomRight":900,"bottomLeft":1513,"middle":1201,"inTarget":false}
0 1538427301960 1523 9 mousemove //*[@id='searchform']/div/div {} {"topRight":784,"topLeft":1398,"bottomRight":833,"bottomLeft":1426,"middle":1104,"inTarget":false}
0 1538427302339 1372 8 mouseover //*[@id='searchform']/div/div {} {"topRight":635,"topLeft":1247,"bottomRight":694,"bottomLeft":1279,"middle":956,"inTarget":false}
0 1538427302490 1377 136 mousemove //*[@id='cnt'] {} {"topRight":634,"topLeft":1250,"bottomRight":655,"bottomLeft":1260,"middle":943,"inTarget":false}
0 1538427303451 1377 136 mousemove //*[@id='cnt'] {} {"topRight":634,"topLeft":1250,"bottomRight":655,"bottomLeft":1260,"middle":943,"inTarget":false}
0 1538427303617 1375 135 mousemove //*[@id='cnt'] {} {"topRight":632,"topLeft":1247,"bottomRight":653,"bottomLeft":1258,"middle":941,"inTarget":false}
0 1538427303783 1364 151 mousemove //*[@id='cnt'] {} {"topRight":622,"topLeft":1237,"bottomRight":639,"bottomLeft":1245,"middle":929,"inTarget":false}
0 1538427303949 1378 165 mousemove //*[@id='cnt'] {} {"topRight":637,"topLeft":1252,"bottomRight":649,"bottomLeft":1258,"middle":943,"inTarget":false}
0 1538427304231 1382 165 mousemove //*[@id='cnt'] {} {"topRight":641,"topLeft":1256,"bottomRight":653,"bottomLeft":1262,"middle":947,"inTarget":false}
0 1538427305144 1381 162 mousemove //*[@id='cnt'] {} {"topRight":640,"topLeft":1255,"bottomRight":653,"bottomLeft":1261,"middle":946,"inTarget":false}
0 1538427305510 1384 159 mousemove //*[@id='cnt'] {} {"topRight":643,"topLeft":1257,"bottomRight":656,"bottomLeft":1264,"middle":949,"inTarget":false}
0 1538427305759 1384 158 mousemove //*[@id='cnt'] {} {"topRight":643,"topLeft":1257,"bottomRight":656,"bottomLeft":1264,"middle":949,"inTarget":false}
0 1538427306207 1385 158 mousemove //*[@id='cnt'] {} {"topRight":644,"topLeft":1258,"bottomRight":657,"bottomLeft":1265,"middle":950,"inTarget":false}
0 1538427306373 1397 163 mousemove //*[@id='cnt'] {} {"topRight":656,"topLeft":1271,"bottomRight":668,"bottomLeft":1277,"middle":962,"inTarget":false}
0 1538427306539 1399 168 mousemove //*[@id='cnt'] {} {"topRight":659,"topLeft":1273,"bottomRight":669,"bottomLeft":1278,"middle":964,"inTarget":false}
0 1538427306615 0 0 keydown //*[@id='gsr'] {} {}
0 1538427307231 0 0 beforeunload / {} {}
0 1538427307233 0 0 unload / {} {}
