State,Condition Group,Condition,Age Group,COVID-19 Deaths,Number of Mentions,Broad Condition Group
Alabama,Respiratory diseases,Influenza and pneumonia,0,20,20,2
Alabama,Respiratory diseases,Influenza and pneumonia,1,103,108,2
Alabama,Respiratory diseases,Influenza and pneumonia,2,230,237,2
Alabama,Respiratory diseases,Influenza and pneumonia,3,547,564,2
Alabama,Respiratory diseases,Influenza and pneumonia,4,1188,1224,2
Alabama,Respiratory diseases,Influenza and pneumonia,5,1812,1844,2
Alabama,Respiratory diseases,Influenza and pneumonia,6,1855,1893,2
Alabama,Respiratory diseases,Influenza and pneumonia,7,1209,1221,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,0,0,0,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,2,14,14,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,3,45,45,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,4,253,259,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,5,508,523,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,6,549,572,2
Alabama,Respiratory diseases,Chronic lower respiratory diseases,7,302,313,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,1,35,35,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,2,65,65,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,3,159,159,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,4,283,283,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,5,359,359,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,6,220,220,2
Alabama,Respiratory diseases,Adult respiratory distress syndrome,7,59,59,2
Alabama,Respiratory diseases,Respiratory failure,0,13,14,2
Alabama,Respiratory diseases,Respiratory failure,1,93,96,2
Alabama,Respiratory diseases,Respiratory failure,2,265,267,2
Alabama,Respiratory diseases,Respiratory failure,3,703,712,2
Alabama,Respiratory diseases,Respiratory failure,4,1460,1487,2
Alabama,Respiratory diseases,Respiratory failure,5,2278,2317,2
Alabama,Respiratory diseases,Respiratory failure,6,2304,2357,2
Alabama,Respiratory diseases,Respiratory failure,7,1370,1398,2
Alabama,Respiratory diseases,Respiratory arrest,1,25,25,2
Alabama,Respiratory diseases,Respiratory arrest,2,82,82,2
Alabama,Respiratory diseases,Respiratory arrest,3,165,165,2
Alabama,Respiratory diseases,Respiratory arrest,4,387,387,2
Alabama,Respiratory diseases,Respiratory arrest,5,485,485,2
Alabama,Respiratory diseases,Respiratory arrest,6,423,423,2
Alabama,Respiratory diseases,Respiratory arrest,7,276,276,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,1,19,23,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,2,27,29,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,3,90,95,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,4,168,179,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,5,240,248,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,6,244,251,2
Alabama,Respiratory diseases,Other diseases of the respiratory system,7,151,154,2
Alabama,Circulatory diseases,Hypertensive diseases,0,0,0,1
Alabama,Circulatory diseases,Hypertensive diseases,1,10,10,1
Alabama,Circulatory diseases,Hypertensive diseases,2,56,57,1
Alabama,Circulatory diseases,Hypertensive diseases,3,141,142,1
Alabama,Circulatory diseases,Hypertensive diseases,4,363,368,1
Alabama,Circulatory diseases,Hypertensive diseases,5,556,560,1
Alabama,Circulatory diseases,Hypertensive diseases,6,577,588,1
Alabama,Circulatory diseases,Hypertensive diseases,7,567,585,1
Alabama,Circulatory diseases,Ischemic heart disease,0,0,0,1
Alabama,Circulatory diseases,Ischemic heart disease,2,14,14,1
Alabama,Circulatory diseases,Ischemic heart disease,3,62,67,1
Alabama,Circulatory diseases,Ischemic heart disease,4,227,247,1
Alabama,Circulatory diseases,Ischemic heart disease,5,482,531,1
Alabama,Circulatory diseases,Ischemic heart disease,6,554,593,1
Alabama,Circulatory diseases,Ischemic heart disease,7,440,466,1
Alabama,Circulatory diseases,Cardiac arrest,0,12,12,1
Alabama,Circulatory diseases,Cardiac arrest,1,55,55,1
Alabama,Circulatory diseases,Cardiac arrest,2,151,151,1
Alabama,Circulatory diseases,Cardiac arrest,3,317,317,1
Alabama,Circulatory diseases,Cardiac arrest,4,688,689,1
Alabama,Circulatory diseases,Cardiac arrest,5,874,874,1
Alabama,Circulatory diseases,Cardiac arrest,6,806,806,1
Alabama,Circulatory diseases,Cardiac arrest,7,483,483,1
Alabama,Circulatory diseases,Cardiac arrhythmia,2,25,25,1
Alabama,Circulatory diseases,Cardiac arrhythmia,3,68,69,1
Alabama,Circulatory diseases,Cardiac arrhythmia,4,181,187,1
Alabama,Circulatory diseases,Cardiac arrhythmia,5,345,354,1
Alabama,Circulatory diseases,Cardiac arrhythmia,6,476,487,1
Alabama,Circulatory diseases,Cardiac arrhythmia,7,391,396,1
Alabama,Circulatory diseases,Heart failure,0,0,0,1
Alabama,Circulatory diseases,Heart failure,2,25,25,1
Alabama,Circulatory diseases,Heart failure,3,60,60,1
Alabama,Circulatory diseases,Heart failure,4,183,183,1
Alabama,Circulatory diseases,Heart failure,5,330,330,1
Alabama,Circulatory diseases,Heart failure,6,463,464,1
Alabama,Circulatory diseases,Heart failure,7,441,441,1
Alabama,Circulatory diseases,Cerebrovascular diseases,2,23,25,1
Alabama,Circulatory diseases,Cerebrovascular diseases,3,46,47,1
Alabama,Circulatory diseases,Cerebrovascular diseases,4,131,136,1
Alabama,Circulatory diseases,Cerebrovascular diseases,5,260,271,1
Alabama,Circulatory diseases,Cerebrovascular diseases,6,277,285,1
Alabama,Circulatory diseases,Cerebrovascular diseases,7,232,233,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,1,22,27,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,2,57,61,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,3,120,134,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,4,294,310,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,5,379,413,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,6,382,416,1
Alabama,Circulatory diseases,Other diseases of the circulatory system,7,276,295,1
Alabama,Sepsis,Sepsis,1,34,34,0
Alabama,Sepsis,Sepsis,2,105,105,0
Alabama,Sepsis,Sepsis,3,267,267,0
Alabama,Sepsis,Sepsis,4,525,525,0
Alabama,Sepsis,Sepsis,5,760,761,0
Alabama,Sepsis,Sepsis,6,610,610,0
Alabama,Sepsis,Sepsis,7,266,266,0
Alabama,Malignant neoplasms,Malignant neoplasms,2,17,17,0
Alabama,Malignant neoplasms,Malignant neoplasms,3,40,44,0
Alabama,Malignant neoplasms,Malignant neoplasms,4,162,174,0
Alabama,Malignant neoplasms,Malignant neoplasms,5,302,342,0
Alabama,Malignant neoplasms,Malignant neoplasms,6,283,320,0
Alabama,Malignant neoplasms,Malignant neoplasms,7,155,177,0
Alabama,Diabetes,Diabetes,1,23,23,0
Alabama,Diabetes,Diabetes,2,78,79,0
Alabama,Diabetes,Diabetes,3,193,194,0
Alabama,Diabetes,Diabetes,4,430,434,0
Alabama,Diabetes,Diabetes,5,627,628,0
Alabama,Diabetes,Diabetes,6,583,589,0
Alabama,Diabetes,Diabetes,7,236,241,0
Alabama,Obesity,Obesity,1,31,31,0
Alabama,Obesity,Obesity,2,80,80,0
Alabama,Obesity,Obesity,3,111,111,0
Alabama,Obesity,Obesity,4,178,178,0
Alabama,Obesity,Obesity,5,127,127,0
Alabama,Obesity,Obesity,6,66,66,0
Alabama,Obesity,Obesity,7,13,13,0
Alabama,Alzheimer disease,Alzheimer disease,0,0,0,0
Alabama,Alzheimer disease,Alzheimer disease,1,0,0,0
Alabama,Alzheimer disease,Alzheimer disease,2,0,0,0
Alabama,Alzheimer disease,Alzheimer disease,5,48,48,0
Alabama,Alzheimer disease,Alzheimer disease,6,165,165,0
Alabama,Alzheimer disease,Alzheimer disease,7,251,252,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,0,0,0,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,1,0,0,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,2,0,0,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,3,0,0,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,4,17,18,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,5,133,134,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,6,369,370,0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,7,535,536,0
Alabama,Renal failure,Renal failure,1,23,23,0
Alabama,Renal failure,Renal failure,2,87,87,0
Alabama,Renal failure,Renal failure,3,199,203,0
Alabama,Renal failure,Renal failure,4,426,436,0
Alabama,Renal failure,Renal failure,5,701,725,0
Alabama,Renal failure,Renal failure,6,631,650,0
Alabama,Renal failure,Renal failure,7,336,356,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",2,16,32,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",3,28,44,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",4,47,81,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",5,81,137,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",6,82,158,0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",7,73,155,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),0,26,44,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),1,117,184,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),2,235,359,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),3,557,827,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),4,1308,1992,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),5,1983,2974,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),6,1913,2815,0
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),7,1327,1896,0
Alabama,COVID-19,COVID-19,0,59,59,0
Alabama,COVID-19,COVID-19,1,263,263,0
Alabama,COVID-19,COVID-19,2,667,667,0
Alabama,COVID-19,COVID-19,3,1620,1620,0
Alabama,COVID-19,COVID-19,4,3543,3543,0
Alabama,COVID-19,COVID-19,5,5436,5436,0
Alabama,COVID-19,COVID-19,6,5557,5557,0
Alabama,COVID-19,COVID-19,7,4159,4159,0
Alaska,Respiratory diseases,Influenza and pneumonia,1,18,21,2
Alaska,Respiratory diseases,Influenza and pneumonia,2,36,42,2
Alaska,Respiratory diseases,Influenza and pneumonia,3,69,72,2
Alaska,Respiratory diseases,Influenza and pneumonia,4,131,137,2
Alaska,Respiratory diseases,Influenza and pneumonia,5,220,232,2
Alaska,Respiratory diseases,Influenza and pneumonia,6,189,197,2
Alaska,Respiratory diseases,Influenza and pneumonia,7,99,101,2
Alaska,Respiratory diseases,Chronic lower respiratory diseases,4,13,14,2
Alaska,Respiratory diseases,Chronic lower respiratory diseases,5,48,49,2
Alaska,Respiratory diseases,Chronic lower respiratory diseases,6,38,39,2
Alaska,Respiratory diseases,Chronic lower respiratory diseases,7,26,27,2
Alaska,Respiratory diseases,Adult respiratory distress syndrome,2,10,10,2
Alaska,Respiratory diseases,Adult respiratory distress syndrome,3,24,24,2
Alaska,Respiratory diseases,Adult respiratory distress syndrome,4,29,29,2
Alaska,Respiratory diseases,Adult respiratory distress syndrome,5,47,47,2
Alaska,Respiratory diseases,Adult respiratory distress syndrome,6,27,27,2
Alaska,Respiratory diseases,Respiratory failure,1,15,15,2
Alaska,Respiratory diseases,Respiratory failure,2,25,26,2
Alaska,Respiratory diseases,Respiratory failure,3,41,42,2
Alaska,Respiratory diseases,Respiratory failure,4,84,86,2
Alaska,Respiratory diseases,Respiratory failure,5,131,138,2
Alaska,Respiratory diseases,Respiratory failure,6,108,115,2
Alaska,Respiratory diseases,Respiratory failure,7,54,57,2
Alaska,Respiratory diseases,Respiratory arrest,0,0,0,2
Alaska,Respiratory diseases,Respiratory arrest,1,0,0,2
Alaska,Respiratory diseases,Other diseases of the respiratory system,3,17,18,2
Alaska,Respiratory diseases,Other diseases of the respiratory system,4,13,13,2
Alaska,Respiratory diseases,Other diseases of the respiratory system,5,31,32,2
Alaska,Respiratory diseases,Other diseases of the respiratory system,6,24,25,2
Alaska,Circulatory diseases,Hypertensive diseases,0,0,0,1
Alaska,Circulatory diseases,Hypertensive diseases,3,14,14,1
Alaska,Circulatory diseases,Hypertensive diseases,4,24,24,1
Alaska,Circulatory diseases,Hypertensive diseases,5,35,35,1
Alaska,Circulatory diseases,Hypertensive diseases,6,43,44,1
Alaska,Circulatory diseases,Hypertensive diseases,7,27,29,1
Alaska,Circulatory diseases,Ischemic heart disease,0,0,0,1
Alaska,Circulatory diseases,Ischemic heart disease,1,0,0,1
Alaska,Circulatory diseases,Ischemic heart disease,4,15,17,1
Alaska,Circulatory diseases,Ischemic heart disease,5,35,38,1
Alaska,Circulatory diseases,Ischemic heart disease,6,40,43,1
Alaska,Circulatory diseases,Ischemic heart disease,7,16,17,1
Alaska,Circulatory diseases,Cardiac arrest,0,0,0,1
Alaska,Circulatory diseases,Cardiac arrest,2,14,14,1
Alaska,Circulatory diseases,Cardiac arrest,3,13,13,1
Alaska,Circulatory diseases,Cardiac arrest,4,30,30,1
Alaska,Circulatory diseases,Cardiac arrest,5,42,42,1
Alaska,Circulatory diseases,Cardiac arrest,6,29,29,1
Alaska,Circulatory diseases,Cardiac arrhythmia,0,0,0,1
Alaska,Circulatory diseases,Cardiac arrhythmia,1,0,0,1
Alaska,Circulatory diseases,Cardiac arrhythmia,5,22,24,1
Alaska,Circulatory diseases,Cardiac arrhythmia,6,34,36,1
Alaska,Circulatory diseases,Cardiac arrhythmia,7,20,21,1
Alaska,Circulatory diseases,Heart failure,0,0,0,1
Alaska,Circulatory diseases,Heart failure,1,0,0,1
Alaska,Circulatory diseases,Heart failure,2,0,0,1
Alaska,Circulatory diseases,Heart failure,4,13,13,1
Alaska,Circulatory diseases,Heart failure,5,26,26,1
Alaska,Circulatory diseases,Heart failure,6,32,32,1
Alaska,Circulatory diseases,Heart failure,7,38,38,1
Alaska,Circulatory diseases,Cerebrovascular diseases,1,0,0,1
Alaska,Circulatory diseases,Cerebrovascular diseases,5,23,24,1
Alaska,Circulatory diseases,Cerebrovascular diseases,6,23,24,1
Alaska,Circulatory diseases,Cerebrovascular diseases,7,24,25,1
Alaska,Circulatory diseases,Other diseases of the circulatory system,3,14,16,1
Alaska,Circulatory diseases,Other diseases of the circulatory system,4,25,27,1
Alaska,Circulatory diseases,Other diseases of the circulatory system,5,27,28,1
Alaska,Circulatory diseases,Other diseases of the circulatory system,6,25,26,1
Alaska,Circulatory diseases,Other diseases of the circulatory system,7,16,17,1
Alaska,Sepsis,Sepsis,1,0,0,0
Alaska,Sepsis,Sepsis,3,14,14,0
Alaska,Sepsis,Sepsis,4,18,18,0
Alaska,Sepsis,Sepsis,5,25,25,0
Alaska,Sepsis,Sepsis,6,20,20,0
Alaska,Malignant neoplasms,Malignant neoplasms,0,0,0,0
Alaska,Malignant neoplasms,Malignant neoplasms,4,19,20,0
Alaska,Malignant neoplasms,Malignant neoplasms,5,32,36,0
Alaska,Malignant neoplasms,Malignant neoplasms,6,25,25,0
Alaska,Malignant neoplasms,Malignant neoplasms,7,14,14,0
Alaska,Diabetes,Diabetes,3,13,13,0
Alaska,Diabetes,Diabetes,4,31,31,0
Alaska,Diabetes,Diabetes,5,31,31,0
Alaska,Diabetes,Diabetes,6,29,29,0
Alaska,Diabetes,Diabetes,7,14,14,0
Alaska,Obesity,Obesity,1,11,11,0
Alaska,Obesity,Obesity,2,15,15,0
Alaska,Obesity,Obesity,3,15,15,0
Alaska,Obesity,Obesity,4,21,21,0
Alaska,Obesity,Obesity,5,15,15,0
Alaska,Alzheimer disease,Alzheimer disease,0,0,0,0
Alaska,Alzheimer disease,Alzheimer disease,1,0,0,0
Alaska,Alzheimer disease,Alzheimer disease,2,0,0,0
Alaska,Alzheimer disease,Alzheimer disease,3,0,0,0
Alaska,Alzheimer disease,Alzheimer disease,6,13,13,0
Alaska,Alzheimer disease,Alzheimer disease,7,21,21,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,0,0,0,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,1,0,0,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,2,0,0,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,3,0,0,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,4,0,0,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,6,28,28,0
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,7,40,40,0
Alaska,Renal failure,Renal failure,0,0,0,0
Alaska,Renal failure,Renal failure,3,12,12,0
Alaska,Renal failure,Renal failure,4,19,19,0
Alaska,Renal failure,Renal failure,5,47,50,0
Alaska,Renal failure,Renal failure,6,45,52,0
Alaska,Renal failure,Renal failure,7,26,28,0
Alaska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0,0,0,0
Alaska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",4,16,40,0
Alaska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",6,16,34,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),0,13,26,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),1,20,29,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),2,42,74,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),3,60,98,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),4,110,188,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),5,174,260,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),6,143,224,0
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),7,108,156,0
Alaska,COVID-19,COVID-19,0,15,15,0
Alaska,COVID-19,COVID-19,1,34,34,0
Alaska,COVID-19,COVID-19,2,69,69,0
Alaska,COVID-19,COVID-19,3,128,128,0
Alaska,COVID-19,COVID-19,4,243,243,0
Alaska,COVID-19,COVID-19,5,387,387,0
Alaska,COVID-19,COVID-19,6,345,345,0
Alaska,COVID-19,COVID-19,7,241,241,0
Arizona,Respiratory diseases,Influenza and pneumonia,0,74,79,2
Arizona,Respiratory diseases,Influenza and pneumonia,1,243,255,2
Arizona,Respiratory diseases,Influenza and pneumonia,2,557,589,2
Arizona,Respiratory diseases,Influenza and pneumonia,3,1331,1378,2
Arizona,Respiratory diseases,Influenza and pneumonia,4,2686,2786,2
Arizona,Respiratory diseases,Influenza and pneumonia,5,4220,4360,2
Arizona,Respiratory diseases,Influenza and pneumonia,6,4344,4439,2
Arizona,Respiratory diseases,Influenza and pneumonia,7,2958,2986,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,1,15,15,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,2,31,31,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,3,69,71,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,4,248,257,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,5,605,628,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,6,791,823,2
Arizona,Respiratory diseases,Chronic lower respiratory diseases,7,522,534,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,0,26,26,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,1,92,92,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,2,196,196,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,3,474,474,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,4,936,936,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,5,1268,1268,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,6,1007,1007,2
Arizona,Respiratory diseases,Adult respiratory distress syndrome,7,464,464,2
Arizona,Respiratory diseases,Respiratory failure,0,46,49,2
Arizona,Respiratory diseases,Respiratory failure,1,196,199,2
Arizona,Respiratory diseases,Respiratory failure,2,403,408,2
Arizona,Respiratory diseases,Respiratory failure,3,1011,1020,2
Arizona,Respiratory diseases,Respiratory failure,4,2188,2238,2
Arizona,Respiratory diseases,Respiratory failure,5,3521,3611,2
Arizona,Respiratory diseases,Respiratory failure,6,3833,3951,2
Arizona,Respiratory diseases,Respiratory failure,7,2509,2585,2
Arizona,Respiratory diseases,Respiratory arrest,2,22,22,2
Arizona,Respiratory diseases,Respiratory arrest,3,36,36,2
Arizona,Respiratory diseases,Respiratory arrest,4,70,70,2
Arizona,Respiratory diseases,Respiratory arrest,5,138,138,2
Arizona,Respiratory diseases,Respiratory arrest,6,200,200,2
Arizona,Respiratory diseases,Respiratory arrest,7,168,168,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,0,26,28,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,1,46,46,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,2,118,123,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,3,180,188,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,4,324,340,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,5,410,430,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,6,392,412,2
Arizona,Respiratory diseases,Other diseases of the respiratory system,7,273,277,2
Arizona,Circulatory diseases,Hypertensive diseases,1,21,21,1
Arizona,Circulatory diseases,Hypertensive diseases,2,93,93,1
Arizona,Circulatory diseases,Hypertensive diseases,3,279,281,1
Arizona,Circulatory diseases,Hypertensive diseases,4,630,634,1
Arizona,Circulatory diseases,Hypertensive diseases,5,985,993,1
Arizona,Circulatory diseases,Hypertensive diseases,6,1269,1292,1
Arizona,Circulatory diseases,Hypertensive diseases,7,1137,1176,1
Arizona,Circulatory diseases,Ischemic heart disease,2,30,32,1
Arizona,Circulatory diseases,Ischemic heart disease,3,110,116,1
Arizona,Circulatory diseases,Ischemic heart disease,4,298,321,1
Arizona,Circulatory diseases,Ischemic heart disease,5,591,635,1
Arizona,Circulatory diseases,Ischemic heart disease,6,845,898,1
Arizona,Circulatory diseases,Ischemic heart disease,7,780,836,1
Arizona,Circulatory diseases,Cardiac arrest,0,20,20,1
Arizona,Circulatory diseases,Cardiac arrest,1,64,64,1
Arizona,Circulatory diseases,Cardiac arrest,2,110,110,1
Arizona,Circulatory diseases,Cardiac arrest,3,297,297,1
Arizona,Circulatory diseases,Cardiac arrest,4,584,584,1
Arizona,Circulatory diseases,Cardiac arrest,5,972,972,1
Arizona,Circulatory diseases,Cardiac arrest,6,1058,1058,1
Arizona,Circulatory diseases,Cardiac arrest,7,619,619,1
Arizona,Circulatory diseases,Cardiac arrhythmia,1,11,12,1
Arizona,Circulatory diseases,Cardiac arrhythmia,2,17,17,1
Arizona,Circulatory diseases,Cardiac arrhythmia,3,65,66,1
Arizona,Circulatory diseases,Cardiac arrhythmia,4,194,199,1
Arizona,Circulatory diseases,Cardiac arrhythmia,5,411,433,1
Arizona,Circulatory diseases,Cardiac arrhythmia,6,677,693,1
Arizona,Circulatory diseases,Cardiac arrhythmia,7,606,618,1
Arizona,Circulatory diseases,Heart failure,1,11,11,1
Arizona,Circulatory diseases,Heart failure,2,25,25,1
Arizona,Circulatory diseases,Heart failure,3,76,77,1
Arizona,Circulatory diseases,Heart failure,4,159,159,1
Arizona,Circulatory diseases,Heart failure,5,280,280,1
Arizona,Circulatory diseases,Heart failure,6,539,540,1
Arizona,Circulatory diseases,Heart failure,7,584,584,1
Arizona,Circulatory diseases,Cerebrovascular diseases,1,10,10,1
Arizona,Circulatory diseases,Cerebrovascular diseases,2,22,23,1
Arizona,Circulatory diseases,Cerebrovascular diseases,3,55,55,1
Arizona,Circulatory diseases,Cerebrovascular diseases,4,143,151,1
Arizona,Circulatory diseases,Cerebrovascular diseases,5,265,272,1
Arizona,Circulatory diseases,Cerebrovascular diseases,6,317,326,1
Arizona,Circulatory diseases,Cerebrovascular diseases,7,299,309,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,0,17,18,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,1,45,47,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,2,78,88,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,3,170,197,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,4,372,408,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,5,502,541,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,6,590,650,1
Arizona,Circulatory diseases,Other diseases of the circulatory system,7,467,520,1
Arizona,Sepsis,Sepsis,0,18,18,0
Arizona,Sepsis,Sepsis,1,46,46,0
Arizona,Sepsis,Sepsis,2,84,85,0
Arizona,Sepsis,Sepsis,3,225,225,0
Arizona,Sepsis,Sepsis,4,427,427,0
Arizona,Sepsis,Sepsis,5,540,540,0
Arizona,Sepsis,Sepsis,6,435,435,0
Arizona,Sepsis,Sepsis,7,174,174,0
Arizona,Malignant neoplasms,Malignant neoplasms,1,10,13,0
Arizona,Malignant neoplasms,Malignant neoplasms,2,19,20,0
Arizona,Malignant neoplasms,Malignant neoplasms,3,53,60,0
Arizona,Malignant neoplasms,Malignant neoplasms,4,201,236,0
Arizona,Malignant neoplasms,Malignant neoplasms,5,416,472,0
Arizona,Malignant neoplasms,Malignant neoplasms,6,470,548,0
Arizona,Malignant neoplasms,Malignant neoplasms,7,258,293,0
Arizona,Diabetes,Diabetes,0,11,11,0
Arizona,Diabetes,Diabetes,1,49,49,0
Arizona,Diabetes,Diabetes,2,122,122,0
Arizona,Diabetes,Diabetes,3,379,382,0
Arizona,Diabetes,Diabetes,4,807,813,0
Arizona,Diabetes,Diabetes,5,1100,1111,0
Arizona,Diabetes,Diabetes,6,1081,1085,0
Arizona,Diabetes,Diabetes,7,544,544,0
Arizona,Obesity,Obesity,0,36,36,0
Arizona,Obesity,Obesity,1,124,124,0
Arizona,Obesity,Obesity,2,231,231,0
Arizona,Obesity,Obesity,3,343,343,0
