cursor timestamp xpos ypos event xpath attrs extras
0 1482277337840 0 0 load / {} {}
0 1482277340618 466 123 mousemove //*[@id='vs0p1c0'] {} {"topRight":279,"topLeft":339,"bottomRight":332,"bottomLeft":383,"middle":85,"inTarget":true}
0 1482277340770 686 25 mousemove //*[@id='lst-ib'] {} {"topRight":95,"topLeft":563,"bottomRight":285,"bottomLeft":624,"middle":306,"inTarget":false}
0 1482277341237 0 0 blur / {} {}
0 1482277347449 0 0 focus / {} {}
0 1482277348489 862 3 mouseover //*[@id='searchform']/div/div {} {"topRight":153,"topLeft":740,"bottomRight":323,"bottomLeft":793,"middle":470,"inTarget":false}
0 1482277348639 839 62 mousemove //*[@id='slim_appbar'] {} {"topRight":102,"topLeft":712,"bottomRight":260,"bottomLeft":751,"middle":427,"inTarget":false}
0 1482277348794 838 72 mousemove //*[@id='slim_appbar'] {} {"topRight":98,"topLeft":711,"bottomRight":250,"bottomLeft":747,"middle":422,"inTarget":false}
0 1482277349134 843 75 mousemove //*[@id='slim_appbar'] {} {"topRight":102,"topLeft":715,"bottomRight":249,"bottomLeft":751,"middle":426,"inTarget":false}
0 1482277349405 1017 128 mouseover /html {} {"topRight":274,"topLeft":889,"bottomRight":325,"bottomLeft":906,"middle":586,"inTarget":false}
0 1482277349625 1023 112 mousemove /html {} {"topRight":279,"topLeft":895,"bottomRight":339,"bottomLeft":915,"middle":594,"inTarget":false}
0 1482277349627 1023 112 mousedown /html {} {"topRight":279,"topLeft":895,"bottomRight":339,"bottomLeft":915,"middle":594,"inTarget":false}
0 1482277349801 1023 684 mousemove /html {} {"topRight":647,"topLeft":1069,"bottomRight":471,"bottomLeft":972,"middle":760,"inTarget":false}
0 1482277349961 1023 1202 mousemove /html {} {"topRight":1137,"topLeft":1420,"bottomRight":940,"bottomLeft":1268,"middle":1160,"inTarget":false}
0 1482277350137 1023 1383 mousemove /html {} {"topRight":1313,"topLeft":1564,"bottomRight":1114,"bottomLeft":1402,"middle":1319,"inTarget":false}
0 1482277350287 0 1114 scroll / {} {}
0 1482277350519 1023 1618 mousemove /html {} {"topRight":1543,"topLeft":1762,"bottomRight":1343,"bottomLeft":1590,"middle":1533,"inTarget":false}
0 1482277350737 1023 1624 mousemove /html {} {"topRight":1549,"topLeft":1767,"bottomRight":1349,"bottomLeft":1595,"middle":1538,"inTarget":false}
0 1482277350899 1009 571 mousemove /html {} {"topRight":540,"topLeft":999,"bottomRight":376,"bottomLeft":921,"middle":682,"inTarget":false}
0 1482277351057 1003 39 mousemove /html {} {"topRight":266,"topLeft":877,"bottomRight":371,"bottomLeft":914,"middle":590,"inTarget":false}
0 1482277351428 1003 37 mouseup /html {} {"topRight":267,"topLeft":877,"bottomRight":372,"bottomLeft":915,"middle":591,"inTarget":false}
0 1482277351689 1000 37 mouseover //*[@id='searchform']/div/div {} {"topRight":264,"topLeft":874,"bottomRight":370,"bottomLeft":912,"middle":588,"inTarget":false}
0 1482277351852 707 114 mousemove //*[@id='vs0p1c0'] {} {"topRight":40,"topLeft":579,"bottomRight":194,"bottomLeft":609,"middle":285,"inTarget":true}
0 1482277352349 706 114 mousemove //*[@id='vs0p1c0'] {} {"topRight":40,"topLeft":578,"bottomRight":194,"bottomLeft":608,"middle":284,"inTarget":true}
0 1482277352503 789 21 mousemove //*[@id='searchform']/div/div {} {"topRight":91,"topLeft":666,"bottomRight":287,"bottomLeft":719,"middle":397,"inTarget":false}
0 1482277354359 0 0 blur / {} {}
0 1482277364481 0 0 focus / {} {}
0 1482277365162 866 3 mouseover //*[@id='searchform']/div/div {} {"topRight":156,"topLeft":744,"bottomRight":325,"bottomLeft":797,"middle":474,"inTarget":false}
0 1482277365315 796 129 mousemove //*[@id='rhs'] {} {"topRight":60,"topLeft":669,"bottomRight":183,"bottomLeft":691,"middle":367,"inTarget":false}
0 1482277365661 783 119 mousemove //*[@id='rhscol'] {} {"topRight":43,"topLeft":655,"bottomRight":189,"bottomLeft":681,"middle":357,"inTarget":false}
0 1482277368006 778 140 mousemove //*[@id='rcnt'] {} {"topRight":52,"topLeft":651,"bottomRight":167,"bottomLeft":670,"middle":348,"inTarget":false}
0 1482277368221 0 228 scroll / {} {}
0 1482277368375 0 342 scroll / {} {}
0 1482277368687 778 483 mousemove //*[@id='rcnt'] {} {"topRight":385,"topLeft":754,"bottomRight":182,"bottomLeft":674,"middle":443,"inTarget":false}
0 1482277368854 776 825 mousemove //*[@id='rcnt'] {} {"topRight":726,"topLeft":972,"bottomRight":522,"bottomLeft":831,"middle":710,"inTarget":false}
0 1482277370309 0 684 scroll / {} {}
0 1482277370515 0 912 scroll / {} {}
0 1482277376154 776 1051 mousemove //*[@id='rcnt'] {} {"topRight":952,"topLeft":1151,"bottomRight":748,"bottomLeft":989,"middle":915,"inTarget":false}
0 1482277376713 0 798 scroll / {} {}
0 1482277376921 0 228 scroll / {} {}
0 1482277377205 775 366 mousemove //*[@id='rcnt'] {} {"topRight":268,"topLeft":700,"bottomRight":69,"bottomLeft":650,"middle":377,"inTarget":false}
0 1482277377375 0 0 scroll / {} {}
0 1482277377576 774 138 mousemove //*[@id='rcnt'] {} {"topRight":48,"topLeft":647,"bottomRight":169,"bottomLeft":667,"middle":344,"inTarget":false}
0 1482277379487 0 114 scroll / {} {}
0 1482277379692 0 228 scroll / {} {}
0 1482277380603 773 593 mousemove //*[@id='rcnt'] {} {"topRight":494,"topLeft":812,"bottomRight":290,"bottomLeft":707,"middle":516,"inTarget":false}
0 1482277380755 491 756 mouseover //*[@id='rso']/div[2]/div/div[4] {} {"topRight":703,"topLeft":750,"bottomRight":518,"bottomLeft":580,"middle":557,"inTarget":false}
0 1482277380986 409 821 mouseover //*[@id='rso']/div[2]/div {} {"topRight":795,"topLeft":774,"bottomRight":616,"bottomLeft":588,"middle":620,"inTarget":false}
0 1482277381139 426 796 mousemove //*[@id='rso']/div[2]/div {} {"topRight":765,"topLeft":757,"bottomRight":586,"bottomLeft":575,"middle":594,"inTarget":false}
0 1482277381312 426 908 mousemove //*[@id='rso']/div[3]/div/div[1]/div/div/div/span {} {"topRight":868,"topLeft":861,"bottomRight":683,"bottomLeft":674,"middle":706,"inTarget":false}
0 1482277381512 424 1021 mousemove //*[@id='rso']/div[3]/div/div[2]/div/div/div/span {} {"topRight":975,"topLeft":967,"bottomRight":785,"bottomLeft":776,"middle":819,"inTarget":false}
0 1482277381663 356 1026 mousemove //*[@id='rso']/div[3]/div/div[2]/div/div/div/span {} {"topRight":1004,"topLeft":954,"bottomRight":820,"bottomLeft":757,"middle":828,"inTarget":false}
0 1482277381818 262 1004 mouseover //*[@id='rso']/div[3]/div/div[2]/div/div/div/span {} {"topRight":1024,"topLeft":914,"bottomRight":850,"bottomLeft":713,"middle":821,"inTarget":false}
0 1482277382150 212 964 mousemove //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":1015,"topLeft":868,"bottomRight":848,"bottomLeft":665,"middle":794,"inTarget":false}
0 1482277382256 212 963 mousedown //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":1014,"topLeft":867,"bottomRight":847,"bottomLeft":664,"middle":793,"inTarget":false}
0 1482277382322 212 963 mouseup //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":1014,"topLeft":867,"bottomRight":847,"bottomLeft":664,"middle":793,"inTarget":false}
0 1482277382325 0 0 beforeunload / {} {}
0 1482277382330 212 963 click //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":1014,"topLeft":867,"bottomRight":847,"bottomLeft":664,"middle":793,"inTarget":false}
0 1482277382498 0 0 unload / {} {}
