cursor timestamp xpos ypos event xpath attrs extras
0 1487192542132 0 0 load / {} {}
0 1487192543360 333 208 mousemove //*[@id='platop1'] {} {"topRight":422,"topLeft":229,"bottomRight":509,"bottomLeft":366,"middle":143,"inTarget":true}
0 1487192543512 1169 86 mousemove //*[@id='slim_appbar'] {} {"topRight":427,"topLeft":1041,"bottomRight":602,"bottomLeft":1124,"middle":767,"inTarget":false}
0 1487192543906 1361 109 mousemove /html {} {"topRight":619,"topLeft":1233,"bottomRight":738,"bottomLeft":1297,"middle":947,"inTarget":false}
0 1487192544080 1363 179 mousemove /html {} {"topRight":625,"topLeft":1237,"bottomRight":704,"bottomLeft":1279,"middle":937,"inTarget":false}
0 1487192544381 1363 183 mousedown /html {} {"topRight":626,"topLeft":1237,"bottomRight":702,"bottomLeft":1278,"middle":936,"inTarget":false}
0 1487192544483 1363 628 mouseup /html {} {"topRight":811,"topLeft":1341,"bottomRight":632,"bottomLeft":1241,"middle":981,"inTarget":false}
0 1487192546491 1363 738 mousemove /html {} {"topRight":886,"topLeft":1387,"bottomRight":661,"bottomLeft":1256,"middle":1023,"inTarget":false}
0 1487192546725 1364 671 mousemove /html {} {"topRight":840,"topLeft":1359,"bottomRight":642,"bottomLeft":1246,"middle":997,"inTarget":false}
0 1487192546876 1357 699 mousemove /html {} {"topRight":854,"topLeft":1365,"bottomRight":643,"bottomLeft":1243,"middle":1001,"inTarget":false}
0 1487192547281 1365 702 mousemove /html {} {"topRight":862,"topLeft":1373,"bottomRight":652,"bottomLeft":1252,"middle":1010,"inTarget":false}
0 1487192547446 1360 741 mousemove /html {} {"topRight":886,"topLeft":1386,"bottomRight":659,"bottomLeft":1253,"middle":1021,"inTarget":false}
0 1487192547599 1360 766 mousemove /html {} {"topRight":904,"topLeft":1398,"bottomRight":669,"bottomLeft":1258,"middle":1032,"inTarget":false}
0 1487192548436 1360 768 mousedown /html {} {"topRight":906,"topLeft":1399,"bottomRight":669,"bottomLeft":1259,"middle":1033,"inTarget":false}
0 1487192548602 1360 746 mousemove /html {} {"topRight":890,"topLeft":1388,"bottomRight":661,"bottomLeft":1254,"middle":1023,"inTarget":false}
0 1487192548756 1360 718 mousemove /html {} {"topRight":870,"topLeft":1376,"bottomRight":652,"bottomLeft":1249,"middle":1012,"inTarget":false}
0 1487192548958 1360 700 mouseup /html {} {"topRight":857,"topLeft":1368,"bottomRight":646,"bottomLeft":1246,"middle":1004,"inTarget":false}
0 1487192549109 1360 701 mousemove /html {} {"topRight":858,"topLeft":1368,"bottomRight":647,"bottomLeft":1247,"middle":1005,"inTarget":false}
0 1487192549275 1360 748 mousemove /html {} {"topRight":891,"topLeft":1389,"bottomRight":662,"bottomLeft":1255,"middle":1024,"inTarget":false}
0 1487192549574 1361 762 mousemove /html {} {"topRight":902,"topLeft":1397,"bottomRight":668,"bottomLeft":1258,"middle":1031,"inTarget":false}
0 1487192549809 1361 764 mousedown /html {} {"topRight":903,"topLeft":1398,"bottomRight":669,"bottomLeft":1259,"middle":1032,"inTarget":false}
0 1487192549961 1361 668 mousemove /html {} {"topRight":836,"topLeft":1355,"bottomRight":639,"bottomLeft":1243,"middle":993,"inTarget":false}
0 1487192550142 1361 596 mousemove /html {} {"topRight":789,"topLeft":1327,"bottomRight":625,"bottomLeft":1236,"middle":970,"inTarget":false}
0 1487192550294 1361 573 mousemove /html {} {"topRight":775,"topLeft":1318,"bottomRight":622,"bottomLeft":1235,"middle":963,"inTarget":false}
0 1487192550448 1360 509 mousemove /html {} {"topRight":738,"topLeft":1296,"bottomRight":618,"bottomLeft":1232,"middle":946,"inTarget":false}
0 1487192550598 1360 481 mousemove /html {} {"topRight":723,"topLeft":1288,"bottomRight":619,"bottomLeft":1232,"middle":941,"inTarget":false}
