cursor timestamp xpos ypos event xpath attrs extras
0 1490625763214 0 0 load / {} {}
0 1490625847776 0 0 focus / {} {}
0 1490625849038 701 58 mouseover //*[@id='lst-ib'] {} {"topRight":578,"topLeft":140,"bottomRight":660,"bottomLeft":348,"middle":400,"inTarget":false}
0 1490625849193 691 99 mousemove //*[@id='slim_appbar'] {} {"topRight":584,"topLeft":133,"bottomRight":649,"bottomLeft":314,"middle":390,"inTarget":false}
0 1490625849344 804 168 mousemove //*[@id='rhscol'] {} {"topRight":471,"topLeft":40,"bottomRight":518,"bottomLeft":218,"middle":259,"inTarget":false}
0 1490625849536 1000 211 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":285,"topLeft":197,"bottomRight":325,"bottomLeft":250,"middle":66,"inTarget":true}
0 1490625849635 1000 211 mousedown //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":285,"topLeft":197,"bottomRight":325,"bottomLeft":250,"middle":66,"inTarget":true}
0 1490625849744 1000 211 mouseup //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":285,"topLeft":197,"bottomRight":325,"bottomLeft":250,"middle":66,"inTarget":true}
0 1490625849745 1000 211 click //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":285,"topLeft":197,"bottomRight":325,"bottomLeft":250,"middle":66,"inTarget":true}
0 1490625849915 1000 211 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":285,"topLeft":197,"bottomRight":325,"bottomLeft":250,"middle":66,"inTarget":true}
0 1490625850073 998 209 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[2] {} {"topRight":287,"topLeft":194,"bottomRight":327,"bottomLeft":250,"middle":69,"inTarget":true}
0 1490625850241 997 197 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850243 997 197 mousedown //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850367 997 197 mouseup //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850368 997 197 click //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850368 0 0 beforeunload / {} {}
0 1490625850524 997 197 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850707 997 197 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625850896 997 197 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":285,"topLeft":189,"bottomRight":335,"bottomLeft":258,"middle":79,"inTarget":true}
0 1490625851083 952 198 mousemove //*[@id='rhs_block']/div/div/div[4]/div[1]/table/tbody/tr/td[2]/div/div[1]/a {} {"topRight":329,"topLeft":148,"bottomRight":372,"bottomLeft":229,"middle":112,"inTarget":true}
0 1490625851195 0 0 unload / {} {}
