cursor timestamp xpos ypos event xpath attrs extras
0 1537412658767 0 0 load / {} {}
0 1537412661143 0 0 focus / {} {}
0 1537412661143 0 0 focus / {} {}
0 1537412663206 0 0 blur / {} {}
0 1537412671169 0 0 focus / {} {}
0 1537412671889 654 9 mouseover //*[@id='sfdiv'] {} {"topRight":131,"topLeft":535,"bottomRight":508,"bottomLeft":726,"middle":370,"inTarget":false}
0 1537412672048 681 209 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":120,"topLeft":563,"bottomRight":306,"bottomLeft":629,"middle":265,"inTarget":true}
0 1537412673114 682 213 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":123,"topLeft":564,"bottomRight":302,"bottomLeft":628,"middle":264,"inTarget":true}
0 1537412674331 0 0 scroll / {} {}
0 1537412674496 0 0 scroll / {} {}
0 1537412675760 639 300 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":220,"topLeft":547,"bottomRight":233,"bottomLeft":552,"middle":204,"inTarget":true}
0 1537412677776 635 293 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":215,"topLeft":540,"bottomRight":241,"bottomLeft":551,"middle":201,"inTarget":true}
0 1537412677932 536 245 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":249,"topLeft":431,"bottomRight":335,"bottomLeft":486,"middle":119,"inTarget":true}
0 1537412678087 531 235 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":247,"topLeft":423,"bottomRight":346,"bottomLeft":487,"middle":120,"inTarget":true}
0 1537412678632 529 231 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1] {} {"topRight":247,"topLeft":420,"bottomRight":350,"bottomLeft":488,"middle":121,"inTarget":true}
0 1537412680048 523 234 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":254,"topLeft":415,"bottomRight":352,"bottomLeft":481,"middle":115,"inTarget":true}
0 1537412681929 522 235 mousedown //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":255,"topLeft":415,"bottomRight":351,"bottomLeft":480,"middle":113,"inTarget":true}
0 1537412682039 522 235 mouseup //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":255,"topLeft":415,"bottomRight":351,"bottomLeft":480,"middle":113,"inTarget":true}
0 1537412682044 522 235 click //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[2]/div[1]/a {} {"topRight":255,"topLeft":415,"bottomRight":351,"bottomLeft":480,"middle":113,"inTarget":true}
0 1537412682046 0 0 beforeunload / {} {}
0 1537412682266 0 0 unload / {} {}
