cursor timestamp xpos ypos event xpath attrs extras
0 1538393452986 0 0 load / {} {}
0 1538393479292 0 0 focus / {} {}
0 1538393479293 0 0 focus / {} {}
0 1538393480723 0 0 blur / {} {}
0 1538393519405 0 0 focus / {} {}
0 1538393520658 0 0 blur / {} {}
0 1538393525241 0 0 focus / {} {}
0 1538393526587 763 10 mouseover //*[@id='sbtc']/div {} {"topRight":490,"topLeft":100,"bottomRight":595,"bottomLeft":351,"middle":338,"inTarget":false}
0 1538393526750 407 120 mouseover //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[2] {} {"topRight":837,"topLeft":383,"bottomRight":871,"bottomLeft":452,"middle":620,"inTarget":false}
0 1538393526917 266 210 mousemove //*[@id='rso']/div[1]/div[2]/div/h3/a/font/font {} {"topRight":984,"topLeft":534,"bottomRight":989,"bottomLeft":545,"middle":751,"inTarget":false}
0 1538393527082 273 163 mouseover //*[@id='rso']/div[1]/div[1]/div/div/div/span/font[1]/font[1] {} {"topRight":973,"topLeft":520,"bottomRight":991,"bottomLeft":553,"middle":747,"inTarget":false}
0 1538393527723 277 119 mousedown //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527836 277 119 mouseup //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527837 277 119 click //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527837 0 0 beforeunload / {} {}
0 1538393527840 277 119 mousedown //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527877 277 119 mouseup //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527877 277 119 click //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":967,"topLeft":513,"bottomRight":997,"bottomLeft":567,"middle":749,"inTarget":false}
0 1538393527882 0 0 beforeunload / {} {}
0 1538393528249 278 119 mouseover //*[@id='rso']/div[1]/div[1]/div/h3/a/font/font[1] {} {"topRight":966,"topLeft":512,"bottomRight":996,"bottomLeft":566,"middle":748,"inTarget":false}
0 1538393528550 0 0 unload / {} {}
