cursor timestamp xpos ypos event xpath attrs extras
0 1538418964710 0 0 load / {} {}
0 1538418964873 178 185 mousemove //*[@id='tads']/ol/li/div[4] {} {"topRight":572,"topLeft":99,"bottomRight":567,"bottomLeft":60,"middle":259,"inTarget":true}
0 1538418965189 39 185 mousemove //*[@id='rcnt'] {} {"topRight":710,"topLeft":123,"bottomRight":706,"bottomLeft":95,"middle":398,"inTarget":false}
0 1538418966056 34 182 mousemove //*[@id='rcnt'] {} {"topRight":715,"topLeft":125,"bottomRight":711,"bottomLeft":101,"middle":403,"inTarget":false}
0 1538418966439 32 180 mousemove //*[@id='rcnt'] {} {"topRight":716,"topLeft":125,"bottomRight":713,"bottomLeft":104,"middle":405,"inTarget":false}
0 1538418966589 31 178 mousemove //*[@id='rcnt'] {} {"topRight":717,"topLeft":124,"bottomRight":714,"bottomLeft":105,"middle":405,"inTarget":false}
0 1538418966806 30 177 mousemove //*[@id='rcnt'] {} {"topRight":718,"topLeft":125,"bottomRight":715,"bottomLeft":107,"middle":406,"inTarget":false}
0 1538418968956 30 175 mousemove //*[@id='rcnt'] {} {"topRight":718,"topLeft":123,"bottomRight":715,"bottomLeft":107,"middle":406,"inTarget":false}
0 1538418969940 30 174 mousemove //*[@id='rcnt'] {} {"topRight":718,"topLeft":123,"bottomRight":715,"bottomLeft":108,"middle":406,"inTarget":false}
0 1538418970173 30 173 mousemove //*[@id='rcnt'] {} {"topRight":718,"topLeft":122,"bottomRight":715,"bottomLeft":108,"middle":406,"inTarget":false}
0 1538418970557 31 173 mousemove //*[@id='rcnt'] {} {"topRight":717,"topLeft":121,"bottomRight":714,"bottomLeft":107,"middle":405,"inTarget":false}
0 1538418970756 32 173 mousemove //*[@id='rcnt'] {} {"topRight":716,"topLeft":121,"bottomRight":713,"bottomLeft":106,"middle":404,"inTarget":false}
0 1538418971373 33 171 mousemove //*[@id='rcnt'] {} {"topRight":715,"topLeft":119,"bottomRight":713,"bottomLeft":106,"middle":403,"inTarget":false}
0 1538418971556 35 169 mousemove //*[@id='rcnt'] {} {"topRight":712,"topLeft":116,"bottomRight":711,"bottomLeft":106,"middle":401,"inTarget":false}
0 1538418971706 37 166 mousemove //*[@id='rcnt'] {} {"topRight":710,"topLeft":112,"bottomRight":709,"bottomLeft":105,"middle":399,"inTarget":false}
0 1538418971873 39 162 mousemove //*[@id='rcnt'] {} {"topRight":708,"topLeft":108,"bottomRight":707,"bottomLeft":106,"middle":397,"inTarget":false}
0 1538418972421 0 0 scroll / {} {}
0 1538418972575 0 0 scroll / {} {}
0 1538418973408 0 0 scroll / {} {}
0 1538418973560 0 0 scroll / {} {}
0 1538418974761 0 0 scroll / {} {}
0 1538418974915 0 0 scroll / {} {}
0 1538418975066 55 599 mousemove //*[@id='rcnt'] {} {"topRight":851,"topLeft":504,"bottomRight":787,"bottomLeft":387,"middle":582,"inTarget":false}
0 1538418975232 119 685 mousemove //*[@id='rcnt'] {} {"topRight":856,"topLeft":585,"bottomRight":780,"bottomLeft":466,"middle":614,"inTarget":false}
0 1538418975484 130 698 mouseover //*[@id='res'] {} {"topRight":857,"topLeft":598,"bottomRight":779,"bottomLeft":479,"middle":619,"inTarget":false}
0 1538418975650 146 741 mousemove //*[@id='rso']/div[3]/div {} {"topRight":877,"topLeft":641,"bottomRight":794,"bottomLeft":522,"middle":650,"inTarget":false}
0 1538418975850 142 739 mouseover //*[@id='rso']/div[3]/div {} {"topRight":878,"topLeft":639,"bottomRight":795,"bottomLeft":520,"middle":650,"inTarget":false}
0 1538418976620 162 769 mousemove //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":887,"topLeft":670,"bottomRight":801,"bottomLeft":551,"middle":668,"inTarget":false}
0 1538418976980 0 0 blur / {} {}
0 1538418978240 0 0 focus / {} {}
0 1538418978532 489 403 mouseover //*[@id='rso'] {} {"topRight":396,"topLeft":471,"bottomRight":314,"bottomLeft":405,"middle":249,"inTarget":false}
0 1538418978710 272 776 mouseover //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":824,"topLeft":691,"bottomRight":730,"bottomLeft":575,"middle":638,"inTarget":false}
0 1538418978959 250 849 mousemove //*[@id='rso']/div[3]/div {} {"topRight":897,"topLeft":759,"bottomRight":801,"bottomLeft":642,"middle":714,"inTarget":false}
0 1538418979113 252 815 mouseover //*[@id='rso']/div[3]/div/div[2]/div/div/div/span {} {"topRight":868,"topLeft":726,"bottomRight":773,"bottomLeft":609,"middle":681,"inTarget":false}
0 1538418979275 259 787 mousemove //*[@id='rso']/div[3]/div/div[2]/div/div/div/div/cite {} {"topRight":841,"topLeft":699,"bottomRight":747,"bottomLeft":583,"middle":652,"inTarget":false}
0 1538418979644 266 765 mousemove //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":819,"topLeft":679,"bottomRight":726,"bottomLeft":563,"middle":629,"inTarget":false}
0 1538418981427 266 770 mousemove //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":823,"topLeft":684,"bottomRight":729,"bottomLeft":568,"middle":634,"inTarget":false}
0 1538418981992 266 770 mousedown //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":823,"topLeft":684,"bottomRight":729,"bottomLeft":568,"middle":634,"inTarget":false}
0 1538418982075 266 770 mouseup //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":823,"topLeft":684,"bottomRight":729,"bottomLeft":568,"middle":634,"inTarget":false}
0 1538418982077 266 770 click //*[@id='rso']/div[3]/div/div[2]/div/h3/a {} {"topRight":823,"topLeft":684,"bottomRight":729,"bottomLeft":568,"middle":634,"inTarget":false}
0 1538418982077 0 0 beforeunload / {} {}
0 1538418982404 272 753 mouseover //*[@id='rso']/div[3]/div {} {"topRight":806,"topLeft":669,"bottomRight":713,"bottomLeft":553,"middle":616,"inTarget":false}
0 1538418982407 0 0 unload / {} {}
