cursor timestamp xpos ypos event xpath attrs extras
0 1538450695342 0 0 load / {} {}
0 1538450743044 0 0 focus / {} {}
0 1538450743044 0 0 focus / {} {}
0 1538450743362 602 44 mouseover //*[@id='sfdiv'] {} {"topRight":153,"topLeft":478,"bottomRight":488,"bottomLeft":665,"middle":313,"inTarget":false}
0 1538450743521 712 255 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":152,"topLeft":603,"bottomRight":258,"bottomLeft":638,"middle":282,"inTarget":true}
0 1538450744604 706 256 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":154,"topLeft":597,"bottomRight":258,"bottomLeft":632,"middle":276,"inTarget":true}
0 1538450744754 689 256 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":159,"topLeft":581,"bottomRight":260,"bottomLeft":616,"middle":259,"inTarget":true}
0 1538450744904 555 261 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":243,"topLeft":454,"bottomRight":312,"bottomLeft":495,"middle":129,"inTarget":true}
0 1538450745054 476 247 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1] {} {"topRight":301,"topLeft":375,"bottomRight":375,"bottomLeft":437,"middle":74,"inTarget":true}
0 1538450745205 454 223 mouseover //*[@id='platop1'] {} {"topRight":311,"topLeft":346,"bottomRight":407,"bottomLeft":435,"middle":88,"inTarget":true}
0 1538450745429 440 201 mousemove //*[@id='platop1'] {} {"topRight":317,"topLeft":326,"bottomRight":433,"bottomLeft":440,"middle":108,"inTarget":true}
0 1538450745588 430 194 mousemove //*[@id='platop1'] {} {"topRight":324,"topLeft":315,"bottomRight":445,"bottomLeft":438,"middle":115,"inTarget":true}
0 1538450745845 427 194 mousemove //*[@id='platop1'] {} {"topRight":327,"topLeft":312,"bottomRight":447,"bottomLeft":436,"middle":115,"inTarget":true}
0 1538450746070 419 194 mousemove //*[@id='platop1'] {} {"topRight":335,"topLeft":304,"bottomRight":453,"bottomLeft":430,"middle":116,"inTarget":true}
0 1538450746446 418 194 mousemove //*[@id='platop1'] {} {"topRight":336,"topLeft":303,"bottomRight":453,"bottomLeft":430,"middle":116,"inTarget":true}
0 1538450746604 407 196 mousemove //*[@id='platop1'] {} {"topRight":347,"topLeft":293,"bottomRight":460,"bottomLeft":421,"middle":116,"inTarget":true}
0 1538450746781 394 205 mousemove //*[@id='platop1'] {} {"topRight":362,"topLeft":284,"bottomRight":463,"bottomLeft":405,"middle":111,"inTarget":true}
0 1538450746937 369 213 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[1] {} {"topRight":388,"topLeft":264,"bottomRight":477,"bottomLeft":383,"middle":116,"inTarget":true}
0 1538450747092 322 225 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[1] {} {"topRight":437,"topLeft":228,"bottomRight":508,"bottomLeft":346,"middle":141,"inTarget":true}
0 1538450747254 311 226 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[1] {} {"topRight":447,"topLeft":219,"bottomRight":517,"bottomLeft":339,"middle":149,"inTarget":true}
0 1538450747405 296 230 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1] {} {"topRight":463,"topLeft":209,"bottomRight":527,"bottomLeft":327,"middle":160,"inTarget":true}
0 1538450747571 267 232 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1] {} {"topRight":491,"topLeft":188,"bottomRight":551,"bottomLeft":312,"middle":185,"inTarget":true}
0 1538450747724 234 243 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":526,"topLeft":173,"bottomRight":574,"bottomLeft":288,"middle":211,"inTarget":true}
0 1538450747874 228 255 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":535,"topLeft":179,"bottomRight":574,"bottomLeft":275,"middle":214,"inTarget":true}
0 1538450748025 234 299 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1] {} {"topRight":543,"topLeft":220,"bottomRight":550,"bottomLeft":237,"middle":201,"inTarget":true}
0 1538450748175 257 356 mousemove //*[@id='platop2'] {} {"topRight":546,"topLeft":281,"bottomRight":509,"bottomLeft":202,"middle":184,"inTarget":true}
0 1538450748325 291 365 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[3]/div[1]/div[1] {} {"topRight":520,"topLeft":306,"bottomRight":474,"bottomLeft":219,"middle":155,"inTarget":true}
0 1538450748476 361 356 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":456,"topLeft":342,"bottomRight":411,"bottomLeft":280,"middle":88,"inTarget":true}
0 1538450748641 422 341 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":397,"topLeft":376,"bottomRight":362,"bottomLeft":340,"middle":35,"inTarget":true}
0 1538450748791 462 335 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":362,"topLeft":405,"bottomRight":331,"bottomLeft":378,"middle":38,"inTarget":true}
0 1538450749613 464 332 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":358,"topLeft":405,"bottomRight":331,"bottomLeft":381,"middle":37,"inTarget":true}
0 1538450749764 452 327 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":365,"topLeft":392,"bottomRight":343,"bottomLeft":373,"middle":25,"inTarget":true}
0 1538450749925 441 326 mousemove //*[@id='tvcap']/div/div/div[2]/div[1] {} {"topRight":373,"topLeft":383,"bottomRight":353,"bottomLeft":364,"middle":19,"inTarget":true}
0 1538450750092 431 307 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[3] {} {"topRight":370,"topLeft":364,"bottomRight":372,"bottomLeft":365,"middle":4,"inTarget":true}
0 1538450750242 421 279 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[2] {} {"topRight":365,"topLeft":340,"bottomRight":396,"bottomLeft":374,"middle":33,"inTarget":true}
0 1538450750407 411 261 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1] {} {"topRight":365,"topLeft":323,"bottomRight":415,"bottomLeft":378,"middle":53,"inTarget":true}
0 1538450750558 409 247 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":362,"topLeft":314,"bottomRight":425,"bottomLeft":386,"middle":67,"inTarget":true}
0 1538450750757 408 234 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":358,"topLeft":308,"bottomRight":434,"bottomLeft":394,"middle":79,"inTarget":true}
0 1538450751381 406 234 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":360,"topLeft":306,"bottomRight":435,"bottomLeft":392,"middle":80,"inTarget":true}
0 1538450751573 404 235 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":362,"topLeft":305,"bottomRight":436,"bottomLeft":390,"middle":80,"inTarget":true}
0 1538450751829 399 238 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":368,"topLeft":301,"bottomRight":438,"bottomLeft":385,"middle":79,"inTarget":true}
0 1538450752054 396 239 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":371,"topLeft":299,"bottomRight":440,"bottomLeft":382,"middle":80,"inTarget":true}
0 1538450752486 393 240 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":374,"topLeft":297,"bottomRight":442,"bottomLeft":379,"middle":80,"inTarget":true}
0 1538450752643 355 240 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":410,"topLeft":264,"bottomRight":472,"bottomLeft":354,"middle":105,"inTarget":true}
0 1538450752796 304 240 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1] {} {"topRight":458,"topLeft":221,"bottomRight":515,"bottomLeft":323,"middle":148,"inTarget":true}
0 1538450753114 294 240 mousedown //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":468,"topLeft":213,"bottomRight":524,"bottomLeft":318,"middle":157,"inTarget":true}
0 1538450753173 294 240 mouseup //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":468,"topLeft":213,"bottomRight":524,"bottomLeft":318,"middle":157,"inTarget":true}
0 1538450753174 294 240 click //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":468,"topLeft":213,"bottomRight":524,"bottomLeft":318,"middle":157,"inTarget":true}
0 1538450753175 0 0 beforeunload / {} {}
0 1538450753381 293 240 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":469,"topLeft":213,"bottomRight":524,"bottomLeft":317,"middle":158,"inTarget":true}
0 1538450753597 299 237 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":462,"topLeft":215,"bottomRight":521,"bottomLeft":323,"middle":154,"inTarget":true}
0 1538450754893 301 236 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a {} {"topRight":460,"topLeft":216,"bottomRight":520,"bottomLeft":325,"middle":152,"inTarget":true}
0 1538450755052 362 212 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[1] {} {"topRight":395,"topLeft":257,"bottomRight":484,"bottomLeft":380,"middle":121,"inTarget":true}
0 1538450755054 0 0 unload / {} {}
