      country  ad_position  ad_type  ad_category  serp_id  query          log_id  time_spent  doc_width  doc_height    0    1    2    3    4    5    6    7    8          0      1      2        3      4      5       6      7      8
0         0.0          0.0      0.0          0.0      0.0    0.0  20181002033126        96.0     1366.0      2064.0  0.0  0.0  0.0  1.0  0.0  0.0  3.0  0.0  0.0       96.0    0.0    0.0     95.0    0.0    0.0    92.0    0.0    0.0
1         1.0          1.0      0.0          1.0      1.0    1.0  20181001211223        18.0     1366.0      1611.0  0.0  0.0  0.0  3.0  0.0  0.0  1.0  0.0  0.0       18.0    0.0    0.0     16.0    0.0    0.0    18.0    0.0    0.0
2         1.0          0.0      1.0          1.0      2.0    2.0  20181001170952        54.0     1366.0      2284.0  0.0  1.0  0.0  5.0  5.0  0.0  0.0  0.0  0.0       54.0   53.0    0.0     43.0   52.0    0.0     0.0    0.0    0.0
3         1.0          1.0      0.0          1.0      2.0    2.0  20181001140754        56.0     1070.0      1897.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  0.0  0.0       53.0    0.0    0.0     56.0    0.0    0.0     0.0    0.0    0.0
4         1.0          0.0      1.0          2.0      3.0    3.0  20181001132434         7.0     1280.0      1521.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0        7.0    0.0    0.0      4.0    0.0    0.0     0.0    0.0    0.0
5         2.0          0.0      1.0          3.0      4.0    4.0  20180831150341        74.0     1440.0      1780.0  0.0  1.0  0.0  5.0  5.0  0.0  5.0  5.0  0.0       74.0   74.0    0.0     49.0   70.0    0.0    33.0   69.0    0.0
6         3.0          0.0      1.0          3.0      4.0    4.0  20180831064854       540.0     1366.0      1791.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  0.0  0.0      540.0    0.0    0.0    538.0    0.0    0.0     0.0    0.0    0.0
7         4.0          0.0      0.0          4.0      5.0    5.0  20180723143953        64.0     1440.0      2113.0  0.0  0.0  1.0  3.0  0.0  0.0  0.0  0.0  0.0       64.0   60.0   64.0     48.0    0.0    0.0     0.0    0.0    0.0
8         3.0          1.0      0.0          5.0      6.0    6.0  20180704231011        39.0     1280.0      1915.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0       39.0    0.0    0.0     25.0    0.0    0.0     0.0    0.0    0.0
9         5.0          0.0      1.0          0.0      7.0    7.0  20180624190554        61.0     1600.0      2082.0  0.0  0.0  0.0  5.0  0.0  0.0  3.0  0.0  0.0       61.0    0.0    0.0     50.0    0.0    0.0    50.0    0.0    0.0
10        4.0          0.0      1.0          6.0      8.0    8.0  20180619212323        19.0     1366.0      1830.0  0.0  0.0  0.0  1.0  0.0  0.0  5.0  0.0  0.0       19.0    0.0    0.0     19.0    0.0    0.0    17.0    0.0    0.0
11        6.0          1.0      0.0          7.0      9.0    9.0  20180118225012       105.0     1120.0      1626.0  0.0  5.0  5.0  5.0  1.0  0.0  5.0  0.0  0.0      105.0   98.0   90.0     99.0  105.0    0.0     5.0    0.0    0.0
12        3.0          0.0      1.0          3.0     10.0   10.0  20170425141540        14.0     1259.0      1839.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  0.0  0.0       14.0    0.0    0.0     11.0    0.0    0.0     0.0    0.0    0.0
14        3.0          1.0      0.0          1.0     11.0   11.0  20170314151811        51.0     1920.0      1549.0  0.0  0.0  0.0  5.0  0.0  0.0  0.0  0.0  0.0       16.0    0.0    0.0     12.0    0.0    0.0     0.0    0.0    0.0
15        4.0          1.0      0.0          0.0     12.0   12.0  20170313184736        16.0     1360.0      1428.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0        7.0    0.0    0.0      5.0    0.0    0.0     0.0    0.0    0.0
17        3.0          0.0      0.0          8.0     13.0   13.0  20170212221146         7.0     1920.0      2031.0  0.0  1.0  0.0  3.0  5.0  0.0  4.0  5.0  0.0       36.0   36.0    0.0     12.0   35.0    0.0    29.0   34.0    0.0
18        3.0          0.0      1.0          8.0     14.0   14.0  20161229181138         7.0     1920.0      1514.0  0.0  0.0  0.0  1.0  0.0  0.0  3.0  0.0  0.0       32.0    0.0    0.0     32.0    0.0    0.0    30.0    0.0    0.0
19        3.0          0.0      0.0          8.0     15.0   15.0  20161226022925        36.0     1366.0      1765.0  0.0  0.0  0.0  3.0  0.0  0.0  5.0  0.0  0.0      264.0    0.0    0.0     42.0    0.0    0.0    42.0    0.0    0.0
20        3.0          0.0      1.0          3.0     16.0   16.0  20161224015311        32.0     1920.0      1797.0  0.0  0.0  5.0  3.0  0.0  0.0  0.0  0.0  0.0       30.0    0.0   26.0     25.0    0.0    0.0     0.0    0.0    0.0
21        7.0          1.0      0.0          7.0     17.0   17.0  20181002100521       264.0     1440.0      1691.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0        6.0    3.0    0.0      0.0    0.0    0.0     0.0    0.0    0.0
22        8.0          0.0      1.0          1.0     18.0   18.0  20181002051437        30.0     1600.0      1724.0  0.0  0.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0       19.0    0.0    0.0     19.0    0.0    0.0     0.0    0.0    0.0
23        9.0          0.0      1.0          1.0     19.0   19.0  20181002004334         6.0     1920.0      1926.0  0.0  3.0  0.0  5.0  0.0  0.0  0.0  0.0  0.0      325.0   34.0    0.0     33.0    0.0    0.0     0.0    0.0    0.0
24        1.0          0.0      1.0          0.0     20.0   20.0  20181001210136        19.0     1440.0      1634.0  0.0  3.0  0.0  3.0  5.0  5.0  5.0  0.0  0.0      141.0   98.0    0.0    100.0  100.0   96.0    94.0    0.0    0.0
25        1.0          0.0      0.0          8.0     21.0   21.0  20181001203338       325.0     1366.0      1680.0  0.0  1.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0       43.0   41.0    0.0     34.0    0.0    0.0     0.0    0.0    0.0
