cursor timestamp xpos ypos event xpath attrs extras
0 1486751481456 0 0 load / {} {}
0 1486751519940 0 0 focus / {} {}
0 1486751520402 306 6 mouseover //*[@id='tsf']/div[2]/div[2] {} {"topRight":447,"topLeft":204,"bottomRight":656,"bottomLeft":521,"middle":322,"inTarget":false}
0 1486751520557 353 222 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[2]/div[1]/div[1]/a/div {} {"topRight":406,"topLeft":253,"bottomRight":476,"bottomLeft":355,"middle":114,"inTarget":true}
0 1486751520707 307 223 mousemove //*[@id='platop1'] {} {"topRight":450,"topLeft":214,"bottomRight":514,"bottomLeft":326,"middle":150,"inTarget":true}
0 1486751520909 305 223 mousemove //*[@id='platop1'] {} {"topRight":452,"topLeft":212,"bottomRight":515,"bottomLeft":325,"middle":152,"inTarget":true}
0 1486751521089 201 202 mousemove //*[@id='platop0'] {} {"topRight":549,"topLeft":121,"bottomRight":616,"bottomLeft":303,"middle":254,"inTarget":true}
0 1486751521791 200 202 mousedown //*[@id='platop0'] {} {"topRight":550,"topLeft":120,"bottomRight":617,"bottomLeft":303,"middle":255,"inTarget":true}
0 1486751521892 200 202 mouseup //*[@id='platop0'] {} {"topRight":550,"topLeft":120,"bottomRight":617,"bottomLeft":303,"middle":255,"inTarget":true}
0 1486751521893 200 202 click //*[@id='platop0'] {} {"topRight":550,"topLeft":120,"bottomRight":617,"bottomLeft":303,"middle":255,"inTarget":true}
0 1486751521894 0 0 beforeunload / {} {}
0 1486751522405 201 204 mousemove //*[@id='platop0'] {} {"topRight":550,"topLeft":122,"bottomRight":615,"bottomLeft":301,"middle":253,"inTarget":true}
0 1486751522565 514 323 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":315,"topLeft":443,"bottomRight":286,"bottomLeft":423,"middle":82,"inTarget":true}
0 1486751524537 514 323 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":315,"topLeft":443,"bottomRight":286,"bottomLeft":423,"middle":82,"inTarget":true}
0 1486751524966 513 323 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":315,"topLeft":442,"bottomRight":287,"bottomLeft":422,"middle":81,"inTarget":true}
0 1486751525542 506 318 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":317,"topLeft":433,"bottomRight":296,"bottomLeft":418,"middle":73,"inTarget":true}
0 1486751526759 0 0 blur / {} {}
0 1486751546275 0 0 unload / {} {}
