cursor timestamp xpos ypos event xpath attrs extras
0 1487009130299 0 0 load / {} {}
0 1487009134585 481 160 mousemove //*[@id='tads']/ol/li/div[2]/b {} {"topRight":270,"topLeft":358,"bottomRight":292,"bottomLeft":375,"middle":56,"inTarget":true}
0 1487009134738 397 101 mouseover //*[@id='tads'] {} {"topRight":347,"topLeft":269,"bottomRight":393,"bottomLeft":326,"middle":100,"inTarget":false}
0 1487009135268 392 96 mousemove //*[@id='slim_appbar'] {} {"topRight":352,"topLeft":264,"bottomRight":400,"bottomLeft":325,"middle":107,"inTarget":false}
0 1487009135435 356 71 mousemove //*[@id='resultStats'] {} {"topRight":389,"topLeft":230,"bottomRight":444,"bottomLeft":313,"middle":146,"inTarget":false}
0 1487009135597 355 65 mousemove //*[@id='resultStats'] {} {"topRight":391,"topLeft":230,"bottomRight":447,"bottomLeft":317,"middle":151,"inTarget":false}
0 1487009136813 0 0 blur / {} {}
0 1487009150814 1096 24 mouseover //*[@id='searchform']/div/div {} {"topRight":360,"topLeft":971,"bottomRight":439,"bottomLeft":1003,"middle":681,"inTarget":false}
0 1487009151196 1251 255 mousemove //*[@id='cnt'] {} {"topRight":530,"topLeft":1134,"bottomRight":508,"bottomLeft":1123,"middle":817,"inTarget":false}
0 1487009151357 1314 314 mousemove //*[@id='cnt'] {} {"topRight":609,"topLeft":1205,"bottomRight":571,"bottomLeft":1186,"middle":886,"inTarget":false}
0 1487009151666 1353 349 mouseover /html {} {"topRight":658,"topLeft":1250,"bottomRight":612,"bottomLeft":1227,"middle":930,"inTarget":false}
0 1487009152303 1354 351 mousedown /html {} {"topRight":660,"topLeft":1251,"bottomRight":613,"bottomLeft":1228,"middle":931,"inTarget":false}
0 1487009152425 1354 959 mouseup /html {} {"topRight":1054,"topLeft":1497,"bottomRight":908,"bottomLeft":1399,"middle":1196,"inTarget":false}
0 1487009153152 1354 1013 mousemove /html {} {"topRight":1098,"topLeft":1529,"bottomRight":949,"bottomLeft":1425,"middle":1231,"inTarget":false}
0 1487009153303 1365 1116 mousemove /html {} {"topRight":1191,"topLeft":1601,"bottomRight":1037,"bottomLeft":1490,"middle":1310,"inTarget":false}
0 1487009153453 1364 1185 mousemove /html {} {"topRight":1250,"topLeft":1645,"bottomRight":1092,"bottomLeft":1528,"middle":1358,"inTarget":false}
0 1487009154103 1363 1197 mousedown /html {} {"topRight":1260,"topLeft":1652,"bottomRight":1101,"bottomLeft":1535,"middle":1367,"inTarget":false}
0 1487009154215 1363 1687 mouseup /html {} {"topRight":1703,"topLeft":2011,"bottomRight":1532,"bottomLeft":1868,"middle":1758,"inTarget":false}
0 1487009155123 1361 1739 mousemove /html {} {"topRight":1751,"topLeft":2051,"bottomRight":1579,"bottomLeft":1906,"middle":1802,"inTarget":false}
0 1487009155283 1344 1375 mousemove //*[@id='cnt'] {} {"topRight":1409,"topLeft":1762,"bottomRight":1243,"bottomLeft":1632,"middle":1490,"inTarget":false}
0 1487009155855 1354 1340 mousedown /html {} {"topRight":1382,"topLeft":1744,"bottomRight":1218,"bottomLeft":1617,"middle":1469,"inTarget":false}
0 1487009155989 1354 697 mouseup /html {} {"topRight":854,"topLeft":1364,"bottomRight":736,"bottomLeft":1293,"middle":1047,"inTarget":false}
0 1487009156397 1354 680 mousedown /html {} {"topRight":842,"topLeft":1356,"bottomRight":726,"bottomLeft":1288,"middle":1039,"inTarget":false}
0 1487009156526 1354 190 mouseup /html {} {"topRight":617,"topLeft":1229,"bottomRight":618,"bottomLeft":1230,"middle":918,"inTarget":false}
0 1487009157203 1353 136 mousemove /html {} {"topRight":610,"topLeft":1226,"bottomRight":627,"bottomLeft":1234,"middle":919,"inTarget":false}
0 1487009157364 1105 63 mousemove //*[@id='slim_appbar'] {} {"topRight":363,"topLeft":978,"bottomRight":424,"bottomLeft":1002,"middle":682,"inTarget":false}
0 1487009171678 869 3 mouseover //*[@id='searchform']/div/div {} {"topRight":158,"topLeft":747,"bottomRight":309,"bottomLeft":793,"middle":473,"inTarget":false}
0 1487009171844 324 395 mouseover //*[@id='rso']/div[1]/div[2]/div/div/div/div/cite {} {"topRight":513,"topLeft":354,"bottomRight":434,"bottomLeft":224,"middle":231,"inTarget":false}
0 1487009172266 324 397 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/div/cite {} {"topRight":514,"topLeft":356,"bottomRight":434,"bottomLeft":225,"middle":233,"inTarget":false}
0 1487009172423 340 467 mousemove //*[@id='rso']/div[1] {} {"topRight":546,"topLeft":424,"bottomRight":443,"bottomLeft":279,"middle":290,"inTarget":false}
0 1487009172573 345 488 mousemove //*[@id='rso']/div[1]/div[3]/div/h3/a {} {"topRight":557,"topLeft":445,"bottomRight":447,"bottomLeft":296,"middle":309,"inTarget":false}
0 1487009172775 346 488 mousemove //*[@id='rso']/div[1]/div[3]/div/h3/a {} {"topRight":556,"topLeft":445,"bottomRight":446,"bottomLeft":297,"middle":308,"inTarget":false}
0 1487009172929 378 418 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/span {} {"topRight":485,"topLeft":405,"bottomRight":389,"bottomLeft":283,"middle":232,"inTarget":false}
0 1487009173129 380 400 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/div/cite {} {"topRight":472,"topLeft":392,"bottomRight":381,"bottomLeft":277,"middle":214,"inTarget":false}
0 1487009173643 383 394 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div/div/cite {} {"topRight":466,"topLeft":389,"bottomRight":377,"bottomLeft":277,"middle":208,"inTarget":false}
