cursor timestamp xpos ypos event xpath attrs extras
0 1488298656497 0 0 load / {} {}
0 1488298659241 0 0 focus / {} {}
0 1488298659584 376 12 mouseover //*[@id='sfdiv'] {} {"topRight":378,"topLeft":263,"bottomRight":459,"bottomLeft":370,"middle":191,"inTarget":false}
0 1488298659734 341 258 mousemove //*[@id='tads']/ol/li/ul/li[4] {} {"topRight":433,"topLeft":265,"bottomRight":404,"bottomLeft":215,"middle":115,"inTarget":true}
0 1488298659884 280 268 mousemove //*[@id='tads']/ol/li/ul/li[4] {} {"topRight":493,"topLeft":227,"bottomRight":464,"bottomLeft":153,"middle":173,"inTarget":true}
0 1488298660039 324 129 mouseover //*[@id='vs0p1c0'] {} {"topRight":421,"topLeft":198,"bottomRight":448,"bottomLeft":251,"middle":129,"inTarget":true}
0 1488298660199 331 116 mousemove //*[@id='vs0p1c0'] {} {"topRight":413,"topLeft":204,"bottomRight":447,"bottomLeft":265,"middle":130,"inTarget":true}
0 1488298660364 332 115 mousedown //*[@id='vs0p1c0'] {} {"topRight":412,"topLeft":205,"bottomRight":446,"bottomLeft":266,"middle":130,"inTarget":true}
0 1488298660474 332 115 mouseup //*[@id='vs0p1c0'] {} {"topRight":412,"topLeft":205,"bottomRight":446,"bottomLeft":266,"middle":130,"inTarget":true}
0 1488298660475 332 115 click //*[@id='vs0p1c0'] {} {"topRight":412,"topLeft":205,"bottomRight":446,"bottomLeft":266,"middle":130,"inTarget":true}
0 1488298660476 0 0 beforeunload / {} {}
0 1488298660767 332 116 mousemove //*[@id='vs0p1c0'] {} {"topRight":412,"topLeft":205,"bottomRight":446,"bottomLeft":266,"middle":129,"inTarget":true}
0 1488298661036 331 137 mouseover //*[@id='tads']/ol/li/div[1]/g-bubble/a/span {} {"topRight":415,"topLeft":206,"bottomRight":439,"bottomLeft":252,"middle":119,"inTarget":true}
0 1488298661209 334 138 mousemove //*[@id='tads']/ol/li/div[1]/g-bubble/a/span {} {"topRight":412,"topLeft":209,"bottomRight":436,"bottomLeft":254,"middle":116,"inTarget":true}
0 1488298661363 343 125 mousemove //*[@id='vs0p1c0'] {} {"topRight":402,"topLeft":216,"bottomRight":432,"bottomLeft":269,"middle":115,"inTarget":true}
0 1488298661515 348 120 mousemove //*[@id='vs0p1c0'] {} {"topRight":397,"topLeft":221,"bottomRight":429,"bottomLeft":276,"middle":114,"inTarget":true}
0 1488298661918 0 0 unload / {} {}
