cursor timestamp xpos ypos event xpath attrs extras
0 1488823238777 0 0 load / {} {}
0 1488823240225 653 405 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":312,"topLeft":604,"bottomRight":127,"bottomLeft":533,"middle":242,"inTarget":true}
0 1488823240905 658 404 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":310,"topLeft":608,"bottomRight":125,"bottomLeft":538,"middle":246,"inTarget":true}
0 1488823241057 663 402 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":306,"topLeft":611,"bottomRight":123,"bottomLeft":543,"middle":249,"inTarget":true}
0 1488823241211 669 398 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1] {} {"topRight":301,"topLeft":615,"bottomRight":122,"bottomLeft":550,"middle":253,"inTarget":true}
0 1488823241610 0 1 scroll / {} {}
0 1488823241760 0 190 scroll / {} {}
0 1488823241994 674 739 mouseover //*[@id='rso']/div[1]/div[3]/div/div/div/span/em[3] {} {"topRight":637,"topLeft":836,"bottomRight":252,"bottomLeft":598,"middle":499,"inTarget":false}
0 1488823242526 0 343 scroll / {} {}
0 1488823242677 0 423 scroll / {} {}
0 1488823242827 0 545 scroll / {} {}
0 1488823242985 675 964 mousemove //*[@id='rso']/div[2]/div/div[2]/span {} {"topRight":861,"topLeft":1018,"bottomRight":473,"bottomLeft":720,"middle":705,"inTarget":false}
0 1488823243609 0 571 scroll / {} {}
0 1488823243760 0 633 scroll / {} {}
0 1488823243910 0 748 scroll / {} {}
0 1488823244160 675 1191 mouseover //*[@id='rso']/div[3]/div/div[1]/div/div/div {} {"topRight":1087,"topLeft":1215,"bottomRight":698,"bottomLeft":884,"middle":922,"inTarget":false}
0 1488823244559 0 799 scroll / {} {}
0 1488823244710 0 926 scroll / {} {}
0 1488823244860 0 1026 scroll / {} {}
0 1488823245289 674 1419 mousemove //*[@id='rso']/div[3]/div/div[3]/div/div/div/span {} {"topRight":1315,"topLeft":1422,"bottomRight":926,"bottomLeft":1072,"middle":1143,"inTarget":false}
0 1488823245536 665 1422 mouseover //*[@id='rso']/div[3]/div/div[3]/div/div/div {} {"topRight":1318,"topLeft":1421,"bottomRight":929,"bottomLeft":1070,"middle":1144,"inTarget":false}
0 1488823245873 664 1421 mouseover //*[@id='rso']/div[3]/div/div[3]/div/div/div/span {} {"topRight":1317,"topLeft":1420,"bottomRight":928,"bottomLeft":1069,"middle":1143,"inTarget":false}
0 1488823246025 662 1372 mousemove //*[@id='rso']/div[3]/div/div[3]/div/div/div/div[1] {} {"topRight":1269,"topLeft":1374,"bottomRight":880,"bottomLeft":1026,"middle":1095,"inTarget":false}
0 1488823246178 675 1200 mousemove //*[@id='rso']/div[3]/div/div[1]/div/div/div {} {"topRight":1096,"topLeft":1223,"bottomRight":707,"bottomLeft":892,"middle":930,"inTarget":false}
0 1488823246333 699 1139 mousemove //*[@id='rso']/div[3]/div/div[1]/div/h3 {} {"topRight":1034,"topLeft":1180,"bottomRight":644,"bottomLeft":860,"middle":879,"inTarget":false}
0 1488823246585 704 1129 mouseover //*[@id='rso'] {} {"topRight":1024,"topLeft":1174,"bottomRight":634,"bottomLeft":856,"middle":871,"inTarget":false}
0 1488823246995 703 1122 mousemove //*[@id='rso'] {} {"topRight":1017,"topLeft":1167,"bottomRight":627,"bottomLeft":850,"middle":864,"inTarget":false}
