cursor timestamp xpos ypos event xpath attrs extras
0 1516336694110 0 0 load / {} {}
0 1516336698151 0 0 focus / {} {}
0 1516336698713 978 0 mouseover //*[@id='searchform']/div/div {} {"topRight":259,"topLeft":857,"bottomRight":563,"bottomLeft":992,"middle":625,"inTarget":false}
0 1516336698864 519 269 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[4]/div[1]/div[2]/div[2]/b {} {"topRight":276,"topLeft":424,"bottomRight":329,"bottomLeft":460,"middle":93,"inTarget":true}
0 1516336699033 319 243 mouseover //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/a {} {"topRight":445,"topLeft":235,"bottomRight":501,"bottomLeft":329,"middle":133,"inTarget":true}
0 1516336699202 262 206 mousemove //*[@id='tvcap']/div/div/div[2]/div[1]/div[2]/div[1]/div[1] {} {"topRight":490,"topLeft":167,"bottomRight":569,"bottomLeft":333,"middle":201,"inTarget":true}
0 1516336699364 285 165 mousemove //*[@id='platop1'] {} {"topRight":461,"topLeft":168,"bottomRight":573,"bottomLeft":380,"middle":208,"inTarget":true}
0 1516336699603 292 142 mouseover //*[@id='tvcap']/div/div {} {"topRight":451,"topLeft":168,"bottomRight":582,"bottomLeft":404,"middle":219,"inTarget":true}
0 1516336699866 307 133 mouseover //*[@id='tvcap']/div/div {} {"topRight":436,"topLeft":181,"bottomRight":576,"bottomLeft":418,"middle":217,"inTarget":true}
0 1516336700042 310 138 mousemove //*[@id='tvcap']/div/div {} {"topRight":433,"topLeft":185,"bottomRight":571,"bottomLeft":415,"middle":211,"inTarget":true}
0 1516336700441 346 128 mousemove //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":397,"topLeft":219,"bottomRight":551,"bottomLeft":441,"middle":201,"inTarget":true}
0 1516336700602 334 117 mousemove //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":408,"topLeft":206,"bottomRight":567,"bottomLeft":445,"middle":217,"inTarget":true}
0 1516336700843 317 122 mousemove //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":425,"topLeft":190,"bottomRight":576,"bottomLeft":432,"middle":221,"inTarget":true}
0 1516336701047 317 123 mousemove //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":425,"topLeft":190,"bottomRight":575,"bottomLeft":432,"middle":220,"inTarget":true}
0 1516336701321 317 123 mousedown //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":425,"topLeft":190,"bottomRight":575,"bottomLeft":432,"middle":220,"inTarget":true}
0 1516336701450 317 123 mouseup //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":425,"topLeft":190,"bottomRight":575,"bottomLeft":432,"middle":220,"inTarget":true}
0 1516336701451 317 123 click //*[@id='tvcap']/div/div/div[1]/h3/a/span {} {"topRight":425,"topLeft":190,"bottomRight":575,"bottomLeft":432,"middle":220,"inTarget":true}
0 1516336701451 0 0 beforeunload / {} {}
0 1516336704794 0 0 unload / {} {}
