cursor timestamp xpos ypos event xpath attrs extras
0 1538391691572 0 0 load / {} {}
0 1538391691726 813 307 mousemove //*[@id='plarhs1'] {} {"topRight":476,"topLeft":202,"bottomRight":434,"bottomLeft":58,"middle":217,"inTarget":true}
0 1538391691880 770 251 mouseover //*[@id='rso']/div[1]/div/table/tbody/tr[2]/td[2] {} {"topRight":496,"topLeft":146,"bottomRight":486,"bottomLeft":111,"middle":248,"inTarget":false}
0 1538391692041 768 238 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[2]/td[2] {} {"topRight":494,"topLeft":134,"bottomRight":491,"bottomLeft":124,"middle":249,"inTarget":false}
0 1538391692861 767 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":495,"topLeft":133,"bottomRight":493,"bottomLeft":125,"middle":250,"inTarget":false}
0 1538391693628 765 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":497,"topLeft":133,"bottomRight":495,"bottomLeft":126,"middle":252,"inTarget":false}
0 1538391693960 764 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":498,"topLeft":134,"bottomRight":496,"bottomLeft":126,"middle":253,"inTarget":false}
0 1538391694260 763 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":499,"topLeft":134,"bottomRight":496,"bottomLeft":126,"middle":254,"inTarget":false}
0 1538391694628 762 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":499,"topLeft":134,"bottomRight":497,"bottomLeft":126,"middle":255,"inTarget":false}
0 1538391694860 761 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":500,"topLeft":134,"bottomRight":498,"bottomLeft":126,"middle":256,"inTarget":false}
0 1538391695228 760 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":501,"topLeft":134,"bottomRight":499,"bottomLeft":127,"middle":257,"inTarget":false}
0 1538391695462 758 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":503,"topLeft":135,"bottomRight":501,"bottomLeft":127,"middle":259,"inTarget":false}
0 1538391695860 757 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":504,"topLeft":135,"bottomRight":502,"bottomLeft":127,"middle":260,"inTarget":false}
0 1538391696028 756 237 mousemove //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td {} {"topRight":505,"topLeft":135,"bottomRight":503,"bottomLeft":128,"middle":261,"inTarget":false}
0 1538391696295 756 238 mouseover //*[@id='rso']/div[1]/div/table/tbody/tr[2]/td[2] {} {"topRight":506,"topLeft":136,"bottomRight":503,"bottomLeft":127,"middle":261,"inTarget":false}
